#    L    TT             EE             TE             PP             TP          
   157    0.43656E+04    0.10118E+01   -0.44255E+02    0.35808E+07    0.43605E+03
   158    0.43957E+04    0.10060E+01   -0.44208E+02    0.35586E+07    0.44651E+03
   159    0.44255E+04    0.99988E+00   -0.44139E+02    0.35366E+07    0.45648E+03
   160    0.44552E+04    0.99339E+00   -0.44045E+02    0.35147E+07    0.46597E+03
   161    0.44847E+04    0.98665E+00   -0.43929E+02    0.34931E+07    0.47501E+03
   162    0.45140E+04    0.97951E+00   -0.43790E+02    0.34717E+07    0.48362E+03
   163    0.45432E+04    0.97204E+00   -0.43628E+02    0.34504E+07    0.49180E+03
   164    0.45720E+04    0.96431E+00   -0.43442E+02    0.34294E+07    0.49960E+03
   165    0.46007E+04    0.95624E+00   -0.43231E+02    0.34085E+07    0.50701E+03
   166    0.46291E+04    0.94797E+00   -0.42997E+02    0.33878E+07    0.51407E+03
   167    0.46574E+04    0.93928E+00   -0.42740E+02    0.33673E+07    0.52079E+03
   168    0.46852E+04    0.93053E+00   -0.42458E+02    0.33470E+07    0.52720E+03
   169    0.47129E+04    0.92142E+00   -0.42150E+02    0.33269E+07    0.53330E+03
   170    0.47402E+04    0.91217E+00   -0.41819E+02    0.33069E+07    0.53913E+03
   171    0.47672E+04    0.90278E+00   -0.41462E+02    0.32871E+07    0.54470E+03
   172    0.47939E+04    0.89316E+00   -0.41080E+02    0.32676E+07    0.55003E+03
   173    0.48202E+04    0.88332E+00   -0.40674E+02    0.32481E+07    0.55514E+03
   174    0.48462E+04    0.87354E+00   -0.40243E+02    0.32289E+07    0.56005E+03
   175    0.48719E+04    0.86352E+00   -0.39786E+02    0.32098E+07    0.56478E+03
   176    0.48972E+04    0.85348E+00   -0.39304E+02    0.31909E+07    0.56935E+03
   177    0.49221E+04    0.84335E+00   -0.38798E+02    0.31722E+07    0.57375E+03
   178    0.49467E+04    0.83333E+00   -0.38266E+02    0.31536E+07    0.57800E+03
   179    0.49709E+04    0.82312E+00   -0.37709E+02    0.31352E+07    0.58209E+03
   180    0.49948E+04    0.81294E+00   -0.37127E+02    0.31170E+07    0.58602E+03
   181    0.50182E+04    0.80279E+00   -0.36520E+02    0.30989E+07    0.58980E+03
   182    0.50413E+04    0.79273E+00   -0.35888E+02    0.30810E+07    0.59343E+03
   183    0.50639E+04    0.78267E+00   -0.35231E+02    0.30633E+07    0.59691E+03
   184    0.50862E+04    0.77269E+00   -0.34548E+02    0.30457E+07    0.60023E+03
   185    0.51081E+04    0.76294E+00   -0.33843E+02    0.30282E+07    0.60341E+03
   186    0.51293E+04    0.75325E+00   -0.33110E+02    0.30109E+07    0.60644E+03
   187    0.51504E+04    0.74377E+00   -0.32353E+02    0.29938E+07    0.60933E+03
   188    0.51710E+04    0.73447E+00   -0.31572E+02    0.29768E+07    0.61207E+03
   189    0.51911E+04    0.72539E+00   -0.30766E+02    0.29600E+07    0.61466E+03
   190    0.52110E+04    0.71657E+00   -0.29937E+02    0.29433E+07    0.61712E+03
   191    0.52302E+04    0.70802E+00   -0.29082E+02    0.29267E+07    0.61943E+03
   192    0.52491E+04    0.69977E+00   -0.28203E+02    0.29103E+07    0.62160E+03
   193    0.52674E+04    0.69185E+00   -0.27301E+02    0.28941E+07    0.62364E+03
   194    0.52854E+04    0.68428E+00   -0.26374E+02    0.28780E+07    0.62554E+03
   195    0.53029E+04    0.67709E+00   -0.25425E+02    0.28620E+07    0.62731E+03
   196    0.53199E+04    0.67032E+00   -0.24452E+02    0.28461E+07    0.62894E+03
   197    0.53365E+04    0.66400E+00   -0.23456E+02    0.28304E+07    0.63044E+03
   198    0.53526E+04    0.65814E+00   -0.22438E+02    0.28148E+07    0.63181E+03
   199    0.53683E+04    0.65279E+00   -0.21398E+02    0.27994E+07    0.63305E+03
   200    0.53835E+04    0.64796E+00   -0.20335E+02    0.27841E+07    0.63416E+03
