#    L    TT             EE             BB             TE             PP             TP             EP          
    79    0.19834E+04    0.40027E+00    0.00000E+00   -0.89260E+01    0.13341E-06   -0.22070E-03   -0.78699E-06
    80    0.20085E+04    0.41363E+00    0.00000E+00   -0.94212E+01    0.13243E-06   -0.21109E-03   -0.74975E-06
    81    0.20338E+04    0.42709E+00    0.00000E+00   -0.99269E+01    0.13147E-06   -0.20195E-03   -0.69787E-06
    82    0.20593E+04    0.44068E+00    0.00000E+00   -0.10442E+02    0.13051E-06   -0.19328E-03   -0.63977E-06
    83    0.20850E+04    0.45438E+00    0.00000E+00   -0.10966E+02    0.12955E-06   -0.18504E-03   -0.58527E-06
    84    0.21109E+04    0.46818E+00    0.00000E+00   -0.11498E+02    0.12861E-06   -0.17721E-03   -0.54417E-06
    85    0.21370E+04    0.48205E+00    0.00000E+00   -0.12038E+02    0.12767E-06   -0.16976E-03   -0.52626E-06
    86    0.21632E+04    0.49601E+00    0.00000E+00   -0.12585E+02    0.12674E-06   -0.16266E-03   -0.53818E-06
    87    0.21899E+04    0.51002E+00    0.00000E+00   -0.13139E+02    0.12582E-06   -0.15588E-03   -0.57397E-06
    88    0.22166E+04    0.52412E+00    0.00000E+00   -0.13699E+02    0.12490E-06   -0.14937E-03   -0.62453E-06
    89    0.22436E+04    0.53828E+00    0.00000E+00   -0.14267E+02    0.12399E-06   -0.14310E-03   -0.68077E-06
    90    0.22708E+04    0.55248E+00    0.00000E+00   -0.14840E+02    0.12309E-06   -0.13702E-03   -0.73358E-06
    91    0.22981E+04    0.56670E+00    0.00000E+00   -0.15419E+02    0.12220E-06   -0.13110E-03   -0.77557E-06
    92    0.23257E+04    0.58094E+00    0.00000E+00   -0.16003E+02    0.12131E-06   -0.12532E-03   -0.80605E-06
    93    0.23535E+04    0.59519E+00    0.00000E+00   -0.16592E+02    0.12043E-06   -0.11970E-03   -0.82598E-06
    94    0.23815E+04    0.60941E+00    0.00000E+00   -0.17185E+02    0.11956E-06   -0.11423E-03   -0.83636E-06
    95    0.24097E+04    0.62361E+00    0.00000E+00   -0.17783E+02    0.11870E-06   -0.10890E-03   -0.83816E-06
    96    0.24379E+04    0.63777E+00    0.00000E+00   -0.18386E+02    0.11784E-06   -0.10373E-03   -0.83235E-06
    97    0.24665E+04    0.65188E+00    0.00000E+00   -0.18991E+02    0.11699E-06   -0.98695E-04   -0.81993E-06
    98    0.24953E+04    0.66593E+00    0.00000E+00   -0.19598E+02    0.11615E-06   -0.93810E-04   -0.80185E-06
    99    0.25242E+04    0.67989E+00    0.00000E+00   -0.20210E+02    0.11531E-06   -0.89071E-04   -0.77910E-06
   100    0.25534E+04    0.69376E+00    0.00000E+00   -0.20822E+02    0.11448E-06   -0.84476E-04   -0.75265E-06
   101    0.25828E+04    0.70760E+00    0.00000E+00   -0.21437E+02    0.11366E-06   -0.80025E-04   -0.72347E-06
   102    0.26126E+04    0.72127E+00    0.00000E+00   -0.22052E+02    0.11284E-06   -0.75717E-04   -0.69255E-06
   103    0.26424E+04    0.73483E+00    0.00000E+00   -0.22670E+02    0.11204E-06   -0.71551E-04   -0.66085E-06
   104    0.26724E+04    0.74830E+00    0.00000E+00   -0.23287E+02    0.11123E-06   -0.67527E-04   -0.62934E-06
   105    0.27025E+04    0.76159E+00    0.00000E+00   -0.23904E+02    0.11044E-06   -0.63643E-04   -0.59900E-06
   106    0.27329E+04    0.77480E+00    0.00000E+00   -0.24522E+02    0.10965E-06   -0.59900E-04   -0.57080E-06
   107    0.27632E+04    0.78776E+00    0.00000E+00   -0.25138E+02    0.10887E-06   -0.56296E-04   -0.54570E-06
   108    0.27939E+04    0.80055E+00    0.00000E+00   -0.25754E+02    0.10810E-06   -0.52830E-04   -0.52469E-06
   109    0.28247E+04    0.81310E+00    0.00000E+00   -0.26367E+02    0.10733E-06   -0.49503E-04   -0.50873E-06
   110    0.28556E+04    0.82542E+00    0.00000E+00   -0.26977E+02    0.10657E-06   -0.46313E-04   -0.49878E-06
   111    0.28867E+04    0.83758E+00    0.00000E+00   -0.27586E+02    0.10582E-06   -0.43258E-04   -0.49556E-06
   112    0.29179E+04    0.84950E+00    0.00000E+00   -0.28192E+02    0.10507E-06   -0.40334E-04   -0.49873E-06
   113    0.29494E+04    0.86119E+00    0.00000E+00   -0.28794E+02    0.10433E-06   -0.37536E-04   -0.50767E-06
   114    0.29810E+04    0.87257E+00    0.00000E+00   -0.29392E+02    0.10360E-06   -0.34858E-04   -0.52180E-06
