#    L    TT             EE             BB             TE          
   127    0.35162E+04    0.10175E+01    0.41742E-02   -0.38074E+02
   128    0.35499E+04    0.10232E+01    0.42435E-02   -0.38527E+02
   129    0.35836E+04    0.10283E+01    0.43136E-02   -0.38966E+02
   130    0.36173E+04    0.10330E+01    0.43843E-02   -0.39390E+02
   131    0.36510E+04    0.10373E+01    0.44557E-02   -0.39800E+02
   132    0.36847E+04    0.10411E+01    0.45279E-02   -0.40194E+02
   133    0.37183E+04    0.10445E+01    0.46008E-02   -0.40573E+02
   134    0.37519E+04    0.10474E+01    0.46744E-02   -0.40934E+02
   135    0.37855E+04    0.10499E+01    0.47487E-02   -0.41279E+02
   136    0.38190E+04    0.10518E+01    0.48239E-02   -0.41605E+02
   137    0.38524E+04    0.10533E+01    0.48997E-02   -0.41914E+02
   138    0.38857E+04    0.10544E+01    0.49763E-02   -0.42205E+02
   139    0.39187E+04    0.10551E+01    0.50537E-02   -0.42476E+02
   140    0.39519E+04    0.10552E+01    0.51319E-02   -0.42729E+02
   141    0.39848E+04    0.10548E+01    0.52108E-02   -0.42961E+02
   142    0.40177E+04    0.10540E+01    0.52906E-02   -0.43174E+02
   143    0.40505E+04    0.10527E+01    0.53711E-02   -0.43367E+02
   144    0.40831E+04    0.10510E+01    0.54524E-02   -0.43539E+02
   145    0.41155E+04    0.10489E+01    0.55346E-02   -0.43690E+02
   146    0.41481E+04    0.10463E+01    0.56175E-02   -0.43820E+02
   147    0.41802E+04    0.10433E+01    0.57013E-02   -0.43928E+02
   148    0.42122E+04    0.10398E+01    0.57859E-02   -0.44014E+02
   149    0.42441E+04    0.10359E+01    0.58713E-02   -0.44078E+02
   150    0.42757E+04    0.10317E+01    0.59576E-02   -0.44118E+02
   151    0.43072E+04    0.10270E+01    0.60447E-02   -0.44136E+02
   152    0.43384E+04    0.10218E+01    0.61327E-02   -0.44130E+02
   153    0.43695E+04    0.10163E+01    0.62215E-02   -0.44100E+02
   154    0.44003E+04    0.10105E+01    0.63111E-02   -0.44046E+02
   155    0.44310E+04    0.10042E+01    0.64017E-02   -0.43968E+02
   156    0.44612E+04    0.99769E+00    0.64931E-02   -0.43867E+02
   157    0.44914E+04    0.99079E+00    0.65853E-02   -0.43740E+02
   158    0.45213E+04    0.98361E+00    0.66784E-02   -0.43588E+02
   159    0.45509E+04    0.97601E+00    0.67724E-02   -0.43412E+02
   160    0.45803E+04    0.96813E+00    0.68673E-02   -0.43210E+02
   161    0.46094E+04    0.96006E+00    0.69631E-02   -0.42983E+02
   162    0.46383E+04    0.95163E+00    0.70597E-02   -0.42731E+02
   163    0.46670E+04    0.94292E+00    0.71572E-02   -0.42454E+02
   164    0.46953E+04    0.93401E+00    0.72556E-02   -0.42152E+02
   165    0.47234E+04    0.92483E+00    0.73549E-02   -0.41822E+02
   166    0.47512E+04    0.91551E+00    0.74550E-02   -0.41468E+02
   167    0.47788E+04    0.90584E+00    0.75561E-02   -0.41089E+02
   168    0.48059E+04    0.89619E+00    0.76580E-02   -0.40682E+02
   169    0.48328E+04    0.88625E+00    0.77607E-02   -0.40249E+02
   170    0.48593E+04    0.87626E+00    0.78644E-02   -0.39791E+02
   171    0.48854E+04    0.86622E+00    0.79689E-02   -0.39305E+02
   172    0.49111E+04    0.85603E+00    0.80743E-02   -0.38793E+02
   173    0.49363E+04    0.84572E+00    0.81806E-02   -0.38255E+02
   174    0.49613E+04    0.83557E+00    0.82877E-02   -0.37690E+02
