#    L    TT             EE             BB             TE          
   376    0.19144E+04    0.20349E+02    0.32733E-01    0.46074E+02
   377    0.18998E+04    0.20419E+02    0.32826E-01    0.44236E+02
   378    0.18857E+04    0.20486E+02    0.32919E-01    0.42388E+02
   379    0.18719E+04    0.20550E+02    0.33012E-01    0.40534E+02
   380    0.18586E+04    0.20610E+02    0.33105E-01    0.38671E+02
   381    0.18457E+04    0.20665E+02    0.33199E-01    0.36803E+02
   382    0.18332E+04    0.20718E+02    0.33293E-01    0.34930E+02
   383    0.18212E+04    0.20767E+02    0.33388E-01    0.33050E+02
   384    0.18097E+04    0.20811E+02    0.33483E-01    0.31168E+02
   385    0.17985E+04    0.20853E+02    0.33578E-01    0.29282E+02
   386    0.17878E+04    0.20891E+02    0.33673E-01    0.27394E+02
   387    0.17774E+04    0.20925E+02    0.33769E-01    0.25504E+02
   388    0.17675E+04    0.20955E+02    0.33865E-01    0.23614E+02
   389    0.17580E+04    0.20979E+02    0.33962E-01    0.21723E+02
   390    0.17490E+04    0.21003E+02    0.34059E-01    0.19833E+02
   391    0.17404E+04    0.21022E+02    0.34156E-01    0.17944E+02
   392    0.17321E+04    0.21038E+02    0.34254E-01    0.16058E+02
   393    0.17244E+04    0.21050E+02    0.34353E-01    0.14174E+02
