#    L    TT             EE             BB             TE          
   137    0.37330E+04    0.10462E+01    0.54014E-02   -0.40726E+02
   138    0.37656E+04    0.10488E+01    0.54851E-02   -0.41071E+02
   139    0.37981E+04    0.10511E+01    0.55696E-02   -0.41398E+02
   140    0.38307E+04    0.10529E+01    0.56550E-02   -0.41710E+02
   141    0.38631E+04    0.10542E+01    0.57413E-02   -0.42004E+02
   142    0.38955E+04    0.10551E+01    0.58284E-02   -0.42280E+02
   143    0.39279E+04    0.10556E+01    0.59164E-02   -0.42539E+02
   144    0.39600E+04    0.10555E+01    0.60053E-02   -0.42780E+02
   145    0.39921E+04    0.10552E+01    0.60950E-02   -0.43003E+02
   146    0.40243E+04    0.10543E+01    0.61857E-02   -0.43206E+02
   147    0.40561E+04    0.10531E+01    0.62773E-02   -0.43389E+02
   148    0.40878E+04    0.10513E+01    0.63697E-02   -0.43554E+02
   149    0.41195E+04    0.10492E+01    0.64632E-02   -0.43699E+02
   150    0.41509E+04    0.10467E+01    0.65575E-02   -0.43822E+02
   151    0.41822E+04    0.10438E+01    0.66528E-02   -0.43925E+02
   152    0.42133E+04    0.10404E+01    0.67490E-02   -0.44007E+02
   153    0.42443E+04    0.10366E+01    0.68462E-02   -0.44067E+02
   154    0.42751E+04    0.10325E+01    0.69444E-02   -0.44105E+02
   155    0.43057E+04    0.10280E+01    0.70435E-02   -0.44123E+02
   156    0.43360E+04    0.10231E+01    0.71436E-02   -0.44118E+02
   157    0.43662E+04    0.10178E+01    0.72447E-02   -0.44090E+02
   158    0.43962E+04    0.10123E+01    0.73467E-02   -0.44040E+02
   159    0.44260E+04    0.10063E+01    0.74498E-02   -0.43967E+02
   160    0.44556E+04    0.99999E+00    0.75538E-02   -0.43870E+02
   161    0.44850E+04    0.99343E+00    0.76588E-02   -0.43751E+02
   162    0.45142E+04    0.98648E+00    0.77648E-02   -0.43609E+02
   163    0.45432E+04    0.97920E+00    0.78719E-02   -0.43443E+02
   164    0.45719E+04    0.97167E+00    0.79799E-02   -0.43254E+02
   165    0.46005E+04    0.96380E+00    0.80889E-02   -0.43040E+02
   166    0.46288E+04    0.95574E+00    0.81989E-02   -0.42803E+02
   167    0.46569E+04    0.94727E+00    0.83099E-02   -0.42543E+02
   168    0.46847E+04    0.93874E+00    0.84219E-02   -0.42257E+02
   169    0.47122E+04    0.92986E+00    0.85350E-02   -0.41947E+02
   170    0.47394E+04    0.92085E+00    0.86490E-02   -0.41613E+02
   171    0.47663E+04    0.91170E+00    0.87640E-02   -0.41253E+02
   172    0.47928E+04    0.90233E+00    0.88800E-02   -0.40868E+02
   173    0.48190E+04    0.89275E+00    0.89970E-02   -0.40459E+02
   174    0.48449E+04    0.88323E+00    0.91149E-02   -0.40026E+02
   175    0.48705E+04    0.87348E+00    0.92339E-02   -0.39567E+02
   176    0.48956E+04    0.86372E+00    0.93538E-02   -0.39082E+02
   177    0.49204E+04    0.85387E+00    0.94747E-02   -0.38574E+02
   178    0.49448E+04    0.84415E+00    0.95966E-02   -0.38040E+02
   179    0.49688E+04    0.83424E+00    0.97195E-02   -0.37480E+02
   180    0.49926E+04    0.82437E+00    0.98433E-02   -0.36896E+02
   181    0.50159E+04    0.81453E+00    0.99680E-02   -0.36288E+02
   182    0.50388E+04    0.80479E+00    0.10094E-01   -0.35654E+02
   183    0.50613E+04    0.79506E+00    0.10220E-01   -0.34995E+02
   184    0.50834E+04    0.78542E+00    0.10348E-01   -0.34311E+02
   185    0.51052E+04    0.77601E+00    0.10477E-01   -0.33604E+02
   186    0.51262E+04    0.76667E+00    0.10606E-01   -0.32870E+02
   187    0.51471E+04    0.75755E+00    0.10736E-01   -0.32112E+02
   188    0.51675E+04    0.74862E+00    0.10868E-01   -0.31330E+02
   189    0.51874E+04    0.73991E+00    0.11000E-01   -0.30523E+02
   190    0.52073E+04    0.73147E+00    0.11133E-01   -0.29693E+02
   191    0.52263E+04    0.72331E+00    0.11267E-01   -0.28838E+02
   192    0.52450E+04    0.71545E+00    0.11402E-01   -0.27958E+02
   193    0.52631E+04    0.70793E+00    0.11538E-01   -0.27056E+02
   194    0.52810E+04    0.70077E+00    0.11674E-01   -0.26129E+02
   195    0.52983E+04    0.69400E+00    0.11812E-01   -0.25180E+02
   196    0.53151E+04    0.68765E+00    0.11950E-01   -0.24207E+02
   197    0.53315E+04    0.68176E+00    0.12089E-01   -0.23212E+02
   198    0.53475E+04    0.67634E+00    0.12229E-01   -0.22195E+02
   199    0.53630E+04    0.67143E+00    0.12370E-01   -0.21155E+02
   200    0.53781E+04    0.66704E+00    0.12512E-01   -0.20094E+02
   201    0.53926E+04    0.66324E+00    0.12655E-01   -0.19010E+02
   202    0.54067E+04    0.66002E+00    0.12798E-01   -0.17905E+02
   203    0.54203E+04    0.65745E+00    0.12942E-01   -0.16779E+02
   204    0.54332E+04    0.65555E+00    0.13087E-01   -0.15633E+02
   205    0.54457E+04    0.65436E+00    0.13233E-01   -0.14466E+02
   206    0.54576E+04    0.65391E+00    0.13380E-01   -0.13279E+02
   207    0.54690E+04    0.65423E+00    0.13527E-01   -0.12072E+02
   208    0.54798E+04    0.65537E+00    0.13675E-01   -0.10846E+02
   209    0.54900E+04    0.65735E+00    0.13824E-01   -0.96009E+01
   210    0.54997E+04    0.66022E+00    0.13974E-01   -0.83372E+01
   211    0.55088E+04    0.66401E+00    0.14124E-01   -0.70552E+01
   212    0.55172E+04    0.66875E+00    0.14275E-01   -0.57555E+01
   213    0.55252E+04    0.67448E+00    0.14427E-01   -0.44382E+01
   214    0.55326E+04    0.68119E+00    0.14580E-01   -0.31042E+01
   215    0.55394E+04    0.68908E+00    0.14733E-01   -0.17543E+01
   216    0.55455E+04    0.69796E+00    0.14887E-01   -0.38771E+00
   217    0.55513E+04    0.70798E+00    0.15042E-01    0.99355E+00
   218    0.55563E+04    0.71914E+00    0.15198E-01    0.23899E+01
   219    0.55609E+04    0.73145E+00    0.15354E-01    0.38023E+01
   220    0.55649E+04    0.74504E+00    0.15511E-01    0.52264E+01
   221    0.55683E+04    0.75985E+00    0.15668E-01    0.66647E+01
   222    0.55712E+04    0.77602E+00    0.15826E-01    0.81157E+01
   223    0.55733E+04    0.79347E+00    0.15985E-01    0.95803E+01
   224    0.55751E+04    0.81220E+00    0.16144E-01    0.11055E+02
   225    0.55762E+04    0.83237E+00    0.16304E-01    0.12542E+02
