#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.304501E-01   0.896236E+07   0.891434E+07   0.835483E+03   0.984696E+03   0.000000E+00   0.895430E+07   0.895430E+07   0.895430E+07  -0.392456E+00   0.513323E+07   0.513259E+07   0.702095E+01
   0.336335E-01   0.813382E+07   0.808519E+07   0.621898E+03   0.735873E+03   0.000000E+00   0.812565E+07   0.812565E+07   0.812565E+07  -0.356539E+00   0.465895E+07   0.465834E+07   0.606340E+01
   0.371497E-01   0.736006E+07   0.731269E+07   0.471927E+03   0.547874E+03   0.000000E+00   0.735210E+07   0.735210E+07   0.735210E+07  -0.322900E+00   0.421599E+07   0.421542E+07   0.510184E+01
   0.410335E-01   0.665987E+07   0.661593E+07   0.356931E+03   0.407649E+03   0.000000E+00   0.665249E+07   0.665249E+07   0.665249E+07  -0.292401E+00   0.381522E+07   0.381471E+07   0.414992E+01
   0.451368E-01   0.607091E+07   0.603226E+07   0.513429E+03   0.307907E+03   0.000000E+00   0.606442E+07   0.606442E+07   0.606442E+07  -0.266719E+00   0.347826E+07   0.347782E+07   0.327590E+01
   0.492402E-01   0.561263E+07   0.558011E+07   0.399389E+03   0.239690E+03   0.000000E+00   0.560717E+07   0.560717E+07   0.560717E+07  -0.246726E+00   0.321622E+07   0.321584E+07   0.254756E+01
   0.533435E-01   0.524500E+07   0.521859E+07   0.318368E+03   0.191174E+03   0.000000E+00   0.524056E+07   0.524056E+07   0.524056E+07  -0.230681E+00   0.300609E+07   0.300577E+07   0.196804E+01
   0.574468E-01   0.493606E+07   0.491502E+07   0.258576E+03   0.155340E+03   0.000000E+00   0.493252E+07   0.493252E+07   0.493252E+07  -0.217187E+00   0.282950E+07   0.282924E+07   0.153259E+01
   0.615502E-01   0.465967E+07   0.464275E+07   0.212792E+03   0.127882E+03   0.000000E+00   0.465683E+07   0.465683E+07   0.465683E+07  -0.205097E+00   0.267144E+07   0.267121E+07   0.122724E+01
   0.656535E-01   0.439792E+07   0.438361E+07   0.176621E+03   0.106175E+03   0.000000E+00   0.439552E+07   0.439552E+07   0.439552E+07  -0.193627E+00   0.252160E+07   0.252140E+07   0.103077E+01
   0.697569E-01   0.413970E+07   0.412655E+07   0.147331E+03   0.885901E+02   0.000000E+00   0.413749E+07   0.413749E+07   0.413749E+07  -0.182290E+00   0.237364E+07   0.237344E+07   0.917307E+00
   0.738602E-01   0.388803E+07   0.387482E+07   0.123466E+03   0.742553E+02   0.000000E+00   0.388582E+07   0.388582E+07   0.388582E+07  -0.171226E+00   0.222930E+07   0.222911E+07   0.860878E+00
   0.779636E-01   0.363118E+07   0.361711E+07   0.103514E+03   0.622667E+02   0.000000E+00   0.362882E+07   0.362882E+07   0.362882E+07  -0.159920E+00   0.208190E+07   0.208170E+07   0.833931E+00
   0.820669E-01   0.338231E+07   0.336704E+07   0.870308E+02   0.523597E+02   0.000000E+00   0.337974E+07   0.337974E+07   0.337974E+07  -0.148958E+00   0.193903E+07   0.193883E+07   0.816937E+00
   0.861703E-01   0.314914E+07   0.313275E+07   0.735050E+02   0.442281E+02   0.000000E+00   0.314638E+07   0.314638E+07   0.314638E+07  -0.138685E+00   0.180517E+07   0.180496E+07   0.795108E+00
   0.912975E-01   0.289037E+07   0.287324E+07   0.601069E+02   0.361715E+02   0.000000E+00   0.288749E+07   0.288749E+07   0.288749E+07  -0.127286E+00   0.165666E+07   0.165646E+07   0.748757E+00
   0.964247E-01   0.267616E+07   0.265929E+07   0.498979E+02   0.300314E+02   0.000000E+00   0.267333E+07   0.267333E+07   0.267333E+07  -0.117854E+00   0.153380E+07   0.153361E+07   0.678177E+00
   0.101552E+00   0.250797E+07   0.249237E+07   0.421671E+02   0.253811E+02   0.000000E+00   0.250535E+07   0.250535E+07   0.250535E+07  -0.110456E+00   0.143744E+07   0.143726E+07   0.589787E+00
   0.106679E+00   0.237875E+07   0.236514E+07   0.362511E+02   0.218220E+02   0.000000E+00   0.237647E+07   0.237647E+07   0.237647E+07  -0.104780E+00   0.136350E+07   0.136334E+07   0.495426E+00
   0.111806E+00   0.227605E+07   0.226468E+07   0.315857E+02   0.190150E+02   0.000000E+00   0.227414E+07   0.227414E+07   0.227414E+07  -0.100273E+00   0.130480E+07   0.130466E+07   0.407645E+00
   0.116934E+00   0.218632E+07   0.217700E+07   0.277448E+02   0.167038E+02   0.000000E+00   0.218476E+07   0.218476E+07   0.218476E+07  -0.963365E-01   0.125352E+07   0.125340E+07   0.336088E+00
   0.122061E+00   0.209817E+07   0.209033E+07   0.244409E+02   0.147155E+02   0.000000E+00   0.209686E+07   0.209686E+07   0.209686E+07  -0.924641E-01   0.120309E+07   0.120299E+07   0.285492E+00
   0.127188E+00   0.200458E+07   0.199750E+07   0.215086E+02   0.129506E+02   0.000000E+00   0.200339E+07   0.200339E+07   0.200339E+07  -0.883453E-01   0.114947E+07   0.114937E+07   0.255461E+00
   0.132315E+00   0.190393E+07   0.189695E+07   0.188771E+02   0.113667E+02   0.000000E+00   0.190276E+07   0.190276E+07   0.190276E+07  -0.839103E-01   0.109174E+07   0.109164E+07   0.241603E+00
   0.137443E+00   0.179891E+07   0.179156E+07   0.165299E+02   0.995370E+01   0.000000E+00   0.179768E+07   0.179768E+07   0.179768E+07  -0.792783E-01   0.103145E+07   0.103135E+07   0.237355E+00
   0.142570E+00   0.169430E+07   0.168639E+07   0.144683E+02   0.871265E+01   0.000000E+00   0.169297E+07   0.169297E+07   0.169297E+07  -0.746625E-01   0.971376E+06   0.971275E+06   0.235943E+00
   0.147697E+00   0.159573E+07   0.158736E+07   0.126964E+02   0.764584E+01   0.000000E+00   0.159432E+07   0.159432E+07   0.159432E+07  -0.703136E-01   0.914780E+06   0.914678E+06   0.232040E+00
   0.152824E+00   0.150865E+07   0.150010E+07   0.112113E+02   0.675172E+01   0.000000E+00   0.150721E+07   0.150721E+07   0.150721E+07  -0.664729E-01   0.864800E+06   0.864698E+06   0.222710E+00
   0.157952E+00   0.143625E+07   0.142790E+07   0.999182E+01   0.601748E+01   0.000000E+00   0.143485E+07   0.143485E+07   0.143485E+07  -0.632828E-01   0.823285E+06   0.823186E+06   0.207507E+00
   0.163079E+00   0.137808E+07   0.137028E+07   0.899438E+01   0.541691E+01   0.000000E+00   0.137677E+07   0.137677E+07   0.137677E+07  -0.607223E-01   0.789962E+06   0.789870E+06   0.187925E+00
   0.168206E+00   0.133088E+07   0.132384E+07   0.816566E+01   0.491790E+01   0.000000E+00   0.132970E+07   0.132970E+07   0.132970E+07  -0.586468E-01   0.762951E+06   0.762867E+06   0.166568E+00
   0.173333E+00   0.129056E+07   0.128435E+07   0.745762E+01   0.449156E+01   0.000000E+00   0.128951E+07   0.128951E+07   0.128951E+07  -0.568753E-01   0.739896E+06   0.739820E+06   0.146262E+00
   0.178460E+00   0.125315E+07   0.124768E+07   0.683207E+01   0.411487E+01   0.000000E+00   0.125223E+07   0.125223E+07   0.125223E+07  -0.552314E-01   0.718502E+06   0.718433E+06   0.129262E+00
   0.183588E+00   0.121506E+07   0.121013E+07   0.626010E+01   0.377045E+01   0.000000E+00   0.121424E+07   0.121424E+07   0.121424E+07  -0.535562E-01   0.696703E+06   0.696639E+06   0.116750E+00
   0.188715E+00   0.117397E+07   0.116931E+07   0.572443E+01   0.344786E+01   0.000000E+00   0.117319E+07   0.117319E+07   0.117319E+07  -0.517463E-01   0.673152E+06   0.673090E+06   0.108749E+00
   0.193842E+00   0.112962E+07   0.112502E+07   0.522068E+01   0.314450E+01   0.000000E+00   0.112885E+07   0.112885E+07   0.112885E+07  -0.497912E-01   0.647713E+06   0.647653E+06   0.104356E+00
   0.198969E+00   0.108355E+07   0.107883E+07   0.475286E+01   0.286276E+01   0.000000E+00   0.108276E+07   0.108276E+07   0.108276E+07  -0.477585E-01   0.621267E+06   0.621207E+06   0.102145E+00
   0.204097E+00   0.103788E+07   0.103300E+07   0.432649E+01   0.260598E+01   0.000000E+00   0.103706E+07   0.103706E+07   0.103706E+07  -0.457432E-01   0.595048E+06   0.594986E+06   0.100582E+00
   0.209224E+00   0.994651E+06   0.989644E+06   0.394540E+01   0.237647E+01   0.000000E+00   0.993810E+06   0.993810E+06   0.993810E+06  -0.438359E-01   0.570233E+06   0.570171E+06   0.984124E-01
   0.214351E+00   0.955564E+06   0.950533E+06   0.361112E+01   0.217514E+01   0.000000E+00   0.954719E+06   0.954719E+06   0.954719E+06  -0.421119E-01   0.547804E+06   0.547743E+06   0.949095E-01
   0.219478E+00   0.921625E+06   0.916704E+06   0.332204E+01   0.200104E+01   0.000000E+00   0.920798E+06   0.920798E+06   0.920798E+06  -0.406159E-01   0.528341E+06   0.528282E+06   0.899363E-01
   0.224606E+00   0.892794E+06   0.888104E+06   0.307297E+01   0.185102E+01   0.000000E+00   0.892007E+06   0.892007E+06   0.892007E+06  -0.393462E-01   0.511821E+06   0.511765E+06   0.838412E-01
   0.229733E+00   0.868080E+06   0.863700E+06   0.285617E+01   0.172044E+01   0.000000E+00   0.867344E+06   0.867344E+06   0.867344E+06  -0.382585E-01   0.497670E+06   0.497617E+06   0.772621E-01
   0.234860E+00   0.846008E+06   0.841960E+06   0.266350E+01   0.160440E+01   0.000000E+00   0.845328E+06   0.845328E+06   0.845328E+06  -0.372876E-01   0.485038E+06   0.484988E+06   0.709078E-01
   0.239987E+00   0.825054E+06   0.821307E+06   0.248786E+01   0.149861E+01   0.000000E+00   0.824425E+06   0.824425E+06   0.824425E+06  -0.363657E-01   0.473044E+06   0.472997E+06   0.653644E-01
   0.245114E+00   0.803939E+06   0.800422E+06   0.232393E+01   0.139987E+01   0.000000E+00   0.803348E+06   0.803348E+06   0.803348E+06  -0.354362E-01   0.460951E+06   0.460906E+06   0.609680E-01
   0.250242E+00   0.781908E+06   0.778532E+06   0.216862E+01   0.130633E+01   0.000000E+00   0.781341E+06   0.781341E+06   0.781341E+06  -0.344656E-01   0.448323E+06   0.448280E+06   0.577660E-01
   0.255369E+00   0.758885E+06   0.755567E+06   0.202110E+01   0.121747E+01   0.000000E+00   0.758328E+06   0.758328E+06   0.758328E+06  -0.334506E-01   0.435119E+06   0.435076E+06   0.555605E-01
   0.260496E+00   0.735347E+06   0.732030E+06   0.188205E+01   0.113372E+01   0.000000E+00   0.734790E+06   0.734790E+06   0.734790E+06  -0.324125E-01   0.421614E+06   0.421571E+06   0.540003E-01
