#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    98    0.25728E+04   -0.21201E+02    0.39026E-05   -0.21201E+02    0.70269E+00   -0.10073E-07    0.39026E-05   -0.10073E-07    0.99562E-11
    99    0.26030E+04   -0.21834E+02    0.38139E-05   -0.21834E+02    0.71676E+00   -0.97276E-08    0.38139E-05   -0.97276E-08    0.96916E-11
   100    0.26335E+04   -0.22466E+02    0.37282E-05   -0.22466E+02    0.73071E+00   -0.93337E-08    0.37282E-05   -0.93337E-08    0.94363E-11
   101    0.26642E+04   -0.23100E+02    0.36454E-05   -0.23100E+02    0.74458E+00   -0.89019E-08    0.36454E-05   -0.89019E-08    0.91900E-11
   102    0.26953E+04   -0.23734E+02    0.35653E-05   -0.23734E+02    0.75823E+00   -0.84426E-08    0.35653E-05   -0.84426E-08    0.89521E-11
   103    0.27264E+04   -0.24369E+02    0.34877E-05   -0.24369E+02    0.77174E+00   -0.79660E-08    0.34877E-05   -0.79660E-08    0.87224E-11
   104    0.27577E+04   -0.25002E+02    0.34126E-05   -0.25002E+02    0.78511E+00   -0.74826E-08    0.34126E-05   -0.74826E-08    0.85005E-11
   105    0.27892E+04   -0.25634E+02    0.33397E-05   -0.25634E+02    0.79827E+00   -0.70026E-08    0.33397E-05   -0.70026E-08    0.82861E-11
   106    0.28208E+04   -0.26264E+02    0.32691E-05   -0.26264E+02    0.81128E+00   -0.65364E-08    0.32691E-05   -0.65364E-08    0.80788E-11
   107    0.28524E+04   -0.26891E+02    0.32005E-05   -0.26891E+02    0.82401E+00   -0.60944E-08    0.32005E-05   -0.60944E-08    0.78781E-11
   108    0.28844E+04   -0.27517E+02    0.31338E-05   -0.27517E+02    0.83652E+00   -0.56869E-08    0.31338E-05   -0.56869E-08    0.76839E-11
   109    0.29165E+04   -0.28139E+02    0.30689E-05   -0.28139E+02    0.84874E+00   -0.53242E-08    0.30689E-05   -0.53242E-08    0.74957E-11
   110    0.29487E+04   -0.28756E+02    0.30057E-05   -0.28756E+02    0.86068E+00   -0.50167E-08    0.30057E-05   -0.50167E-08    0.73131E-11
   111    0.29810E+04   -0.29369E+02    0.29440E-05   -0.29369E+02    0.87241E+00   -0.47722E-08    0.29440E-05   -0.47722E-08    0.71358E-11
   112    0.30135E+04   -0.29978E+02    0.28838E-05   -0.29978E+02    0.88386E+00   -0.45885E-08    0.28838E-05   -0.45885E-08    0.69636E-11
   113    0.30462E+04   -0.30581E+02    0.28250E-05   -0.30581E+02    0.89502E+00   -0.44610E-08    0.28250E-05   -0.44610E-08    0.67965E-11
   114    0.30789E+04   -0.31178E+02    0.27677E-05   -0.31178E+02    0.90582E+00   -0.43850E-08    0.27677E-05   -0.43850E-08    0.66343E-11
   115    0.31119E+04   -0.31769E+02    0.27118E-05   -0.31769E+02    0.91642E+00   -0.43557E-08    0.27118E-05   -0.43557E-08    0.64769E-11
   116    0.31449E+04   -0.32352E+02    0.26572E-05   -0.32352E+02    0.92658E+00   -0.43685E-08    0.26572E-05   -0.43685E-08    0.63240E-11
   117    0.31782E+04   -0.32927E+02    0.26041E-05   -0.32927E+02    0.93638E+00   -0.44188E-08    0.26041E-05   -0.44188E-08    0.61757E-11
   118    0.32116E+04   -0.33494E+02    0.25522E-05   -0.33494E+02    0.94598E+00   -0.45017E-08    0.25522E-05   -0.45017E-08    0.60318E-11
   119    0.32450E+04   -0.34052E+02    0.25017E-05   -0.34052E+02    0.95521E+00   -0.46127E-08    0.25017E-05   -0.46127E-08    0.58920E-11
   120    0.32786E+04   -0.34601E+02    0.24524E-05   -0.34601E+02    0.96395E+00   -0.47470E-08    0.24524E-05   -0.47470E-08    0.57565E-11
   121    0.33121E+04   -0.35140E+02    0.24044E-05   -0.35140E+02    0.97247E+00   -0.48999E-08    0.24044E-05   -0.48999E-08    0.56249E-11
   122    0.33457E+04   -0.35668E+02    0.23577E-05   -0.35668E+02    0.98049E+00   -0.50668E-08    0.23577E-05   -0.50668E-08    0.54971E-11
   123    0.33794E+04   -0.36186E+02    0.23121E-05   -0.36186E+02    0.98808E+00   -0.52430E-08    0.23121E-05   -0.52430E-08    0.53731E-11
   124    0.34131E+04   -0.36691E+02    0.22677E-05   -0.36691E+02    0.99532E+00   -0.54237E-08    0.22677E-05   -0.54237E-08    0.52527E-11
   125    0.34468E+04   -0.37185E+02    0.22244E-05   -0.37185E+02    0.10021E+01   -0.56044E-08    0.22244E-05   -0.56044E-08    0.51357E-11
   126    0.34805E+04   -0.37666E+02    0.21823E-05   -0.37666E+02    0.10086E+01   -0.57803E-08    0.21823E-05   -0.57803E-08    0.50221E-11
   127    0.35142E+04   -0.38135E+02    0.21412E-05   -0.38135E+02    0.10145E+01   -0.59467E-08    0.21412E-05   -0.59467E-08    0.49117E-11
   128    0.35480E+04   -0.38591E+02    0.21013E-05   -0.38591E+02    0.10201E+01   -0.60989E-08    0.21013E-05   -0.60989E-08    0.48043E-11
   129    0.35817E+04   -0.39032E+02    0.20623E-05   -0.39032E+02    0.10252E+01   -0.62323E-08    0.20623E-05   -0.62323E-08    0.47000E-11
   130    0.36155E+04   -0.39458E+02    0.20244E-05   -0.39458E+02    0.10298E+01   -0.63421E-08    0.20244E-05   -0.63421E-08    0.45984E-11
   131    0.36492E+04   -0.39871E+02    0.19875E-05   -0.39871E+02    0.10340E+01   -0.64248E-08    0.19875E-05   -0.64248E-08    0.44995E-11
   132    0.36829E+04   -0.40267E+02    0.19515E-05   -0.40267E+02    0.10378E+01   -0.64811E-08    0.19515E-05   -0.64811E-08    0.44033E-11
   133    0.37166E+04   -0.40649E+02    0.19164E-05   -0.40649E+02    0.10411E+01   -0.65128E-08    0.19164E-05   -0.65128E-08    0.43096E-11
   134    0.37503E+04   -0.41013E+02    0.18823E-05   -0.41013E+02    0.10440E+01   -0.65218E-08    0.18823E-05   -0.65218E-08    0.42185E-11
   135    0.37839E+04   -0.41361E+02    0.18490E-05   -0.41361E+02    0.10463E+01   -0.65098E-08    0.18490E-05   -0.65098E-08    0.41297E-11
   136    0.38173E+04   -0.41689E+02    0.18166E-05   -0.41689E+02    0.10482E+01   -0.64788E-08    0.18166E-05   -0.64788E-08    0.40433E-11
   137    0.38508E+04   -0.42001E+02    0.17850E-05   -0.42001E+02    0.10497E+01   -0.64304E-08    0.17850E-05   -0.64304E-08    0.39593E-11
   138    0.38842E+04   -0.42294E+02    0.17542E-05   -0.42294E+02    0.10506E+01   -0.63666E-08    0.17542E-05   -0.63666E-08    0.38774E-11
   139    0.39173E+04   -0.42568E+02    0.17241E-05   -0.42568E+02    0.10512E+01   -0.62892E-08    0.17241E-05   -0.62892E-08    0.37978E-11
   140    0.39505E+04   -0.42824E+02    0.16948E-05   -0.42824E+02    0.10512E+01   -0.62000E-08    0.16948E-05   -0.62000E-08    0.37202E-11
