#    L    TT             EE             BB             TE          
   118    0.31076E+04    0.92007E+00    0.39819E-02   -0.31708E+02
   119    0.31398E+04    0.93014E+00    0.40517E-02   -0.32274E+02
   120    0.31722E+04    0.93976E+00    0.41222E-02   -0.32833E+02
   121    0.32046E+04    0.94921E+00    0.41934E-02   -0.33383E+02
   122    0.32370E+04    0.95821E+00    0.42653E-02   -0.33925E+02
   123    0.32696E+04    0.96682E+00    0.43379E-02   -0.34459E+02
   124    0.33022E+04    0.97512E+00    0.44113E-02   -0.34982E+02
   125    0.33348E+04    0.98304E+00    0.44854E-02   -0.35496E+02
   126    0.33675E+04    0.99065E+00    0.45602E-02   -0.36000E+02
   127    0.34002E+04    0.99780E+00    0.46357E-02   -0.36493E+02
   128    0.34330E+04    0.10046E+01    0.47120E-02   -0.36975E+02
   129    0.34658E+04    0.10110E+01    0.47890E-02   -0.37445E+02
   130    0.34986E+04    0.10169E+01    0.48669E-02   -0.37902E+02
   131    0.35314E+04    0.10226E+01    0.49454E-02   -0.38349E+02
   132    0.35642E+04    0.10277E+01    0.50248E-02   -0.38781E+02
   133    0.35970E+04    0.10325E+01    0.51049E-02   -0.39201E+02
   134    0.36299E+04    0.10369E+01    0.51859E-02   -0.39605E+02
   135    0.36627E+04    0.10408E+01    0.52676E-02   -0.39996E+02
   136    0.36954E+04    0.10442E+01    0.53502E-02   -0.40369E+02
   137    0.37281E+04    0.10473E+01    0.54335E-02   -0.40728E+02
   138    0.37608E+04    0.10499E+01    0.55178E-02   -0.41071E+02
   139    0.37932E+04    0.10521E+01    0.56028E-02   -0.41398E+02
   140    0.38257E+04    0.10538E+01    0.56887E-02   -0.41708E+02
   141    0.38581E+04    0.10550E+01    0.57755E-02   -0.42000E+02
   142    0.38905E+04    0.10559E+01    0.58631E-02   -0.42274E+02
   143    0.39228E+04    0.10563E+01    0.59516E-02   -0.42531E+02
   144    0.39549E+04    0.10562E+01    0.60410E-02   -0.42770E+02
   145    0.39869E+04    0.10558E+01    0.61313E-02   -0.42990E+02
   146    0.40191E+04    0.10548E+01    0.62225E-02   -0.43192E+02
   147    0.40508E+04    0.10535E+01    0.63146E-02   -0.43373E+02
   148    0.40825E+04    0.10517E+01    0.64076E-02   -0.43536E+02
   149    0.41142E+04    0.10495E+01    0.65016E-02   -0.43678E+02
   150    0.41455E+04    0.10470E+01    0.65965E-02   -0.43798E+02
   151    0.41768E+04    0.10440E+01    0.66923E-02   -0.43899E+02
   152    0.42079E+04    0.10405E+01    0.67891E-02   -0.43979E+02
   153    0.42388E+04    0.10367E+01    0.68869E-02   -0.44036E+02
   154    0.42695E+04    0.10325E+01    0.69856E-02   -0.44072E+02
   155    0.43001E+04    0.10279E+01    0.70853E-02   -0.44087E+02
   156    0.43304E+04    0.10230E+01    0.71860E-02   -0.44079E+02
   157    0.43606E+04    0.10176E+01    0.72876E-02   -0.44049E+02
   158    0.43906E+04    0.10120E+01    0.73903E-02   -0.43996E+02
   159    0.44203E+04    0.10060E+01    0.74939E-02   -0.43920E+02
   160    0.44498E+04    0.99958E+00    0.75985E-02   -0.43821E+02
   161    0.44792E+04    0.99296E+00    0.77041E-02   -0.43698E+02
   162    0.45083E+04    0.98594E+00    0.78108E-02   -0.43553E+02
   163    0.45373E+04    0.97860E+00    0.79184E-02   -0.43384E+02
   164    0.45659E+04    0.97100E+00    0.80270E-02   -0.43192E+02
   165    0.45944E+04    0.96307E+00    0.81367E-02   -0.42975E+02
   166    0.46227E+04    0.95495E+00    0.82473E-02   -0.42735E+02
   167    0.46508E+04    0.94641E+00    0.83589E-02   -0.42471E+02
   168    0.46785E+04    0.93783E+00    0.84716E-02   -0.42183E+02
   169    0.47060E+04    0.92890E+00    0.85852E-02   -0.41869E+02
   170    0.47332E+04    0.91983E+00    0.86999E-02   -0.41531E+02
   171    0.47600E+04    0.91063E+00    0.88155E-02   -0.41168E+02
   172    0.47864E+04    0.90121E+00    0.89322E-02   -0.40780E+02
   173    0.48125E+04    0.89157E+00    0.90498E-02   -0.40367E+02
   174    0.48384E+04    0.88201E+00    0.91685E-02   -0.39930E+02
   175    0.48639E+04    0.87222E+00    0.92881E-02   -0.39468E+02
   176    0.48889E+04    0.86242E+00    0.94087E-02   -0.38980E+02
   177    0.49137E+04    0.85253E+00    0.95303E-02   -0.38468E+02
   178    0.49380E+04    0.84277E+00    0.96528E-02   -0.37930E+02
   179    0.49620E+04    0.83283E+00    0.97764E-02   -0.37367E+02
   180    0.49857E+04    0.82294E+00    0.99009E-02   -0.36779E+02
   181    0.50089E+04    0.81307E+00    0.10026E-01   -0.36167E+02
   182    0.50317E+04    0.80331E+00    0.10153E-01   -0.35529E+02
   183    0.50541E+04    0.79357E+00    0.10280E-01   -0.34867E+02
   184    0.50762E+04    0.78391E+00    0.10408E-01   -0.34179E+02
   185    0.50979E+04    0.77449E+00    0.10538E-01   -0.33468E+02
   186    0.51188E+04    0.76515E+00    0.10668E-01   -0.32730E+02
   187    0.51396E+04    0.75602E+00    0.10799E-01   -0.31968E+02
   188    0.51600E+04    0.74710E+00    0.10931E-01   -0.31182E+02
   189    0.51798E+04    0.73840E+00    0.11064E-01   -0.30372E+02
   190    0.51995E+04    0.72997E+00    0.11198E-01   -0.29538E+02
   191    0.52184E+04    0.72184E+00    0.11332E-01   -0.28678E+02
   192    0.52370E+04    0.71400E+00    0.11468E-01   -0.27795E+02
   193    0.52551E+04    0.70651E+00    0.11604E-01   -0.26889E+02
   194    0.52729E+04    0.69939E+00    0.11742E-01   -0.25959E+02
   195    0.52901E+04    0.69266E+00    0.11880E-01   -0.25006E+02
   196    0.53068E+04    0.68636E+00    0.12019E-01   -0.24029E+02
   197    0.53231E+04    0.68053E+00    0.12159E-01   -0.23031E+02
   198    0.53390E+04    0.67517E+00    0.12300E-01   -0.22010E+02
   199    0.53544E+04    0.67033E+00    0.12441E-01   -0.20966E+02
   200    0.53693E+04    0.66602E+00    0.12584E-01   -0.19901E+02
   201    0.53838E+04    0.66230E+00    0.12727E-01   -0.18814E+02
   202    0.53977E+04    0.65918E+00    0.12871E-01   -0.17706E+02
   203    0.54112E+04    0.65670E+00    0.13016E-01   -0.16576E+02
   204    0.54240E+04    0.65490E+00    0.13162E-01   -0.15427E+02
   205    0.54364E+04    0.65382E+00    0.13309E-01   -0.14256E+02
   206    0.54482E+04    0.65349E+00    0.13456E-01   -0.13066E+02
   207    0.54595E+04    0.65394E+00    0.13604E-01   -0.11856E+02
   208    0.54701E+04    0.65521E+00    0.13753E-01   -0.10627E+02
   209    0.54802E+04    0.65733E+00    0.13903E-01   -0.93782E+01
   210    0.54897E+04    0.66035E+00    0.14053E-01   -0.81115E+01
   211    0.54988E+04    0.66429E+00    0.14204E-01   -0.68264E+01
   212    0.55071E+04    0.66919E+00    0.14356E-01   -0.55239E+01
   213    0.55149E+04    0.67509E+00    0.14509E-01   -0.42037E+01
   214    0.55221E+04    0.68197E+00    0.14662E-01   -0.28670E+01
   215    0.55288E+04    0.69004E+00    0.14816E-01   -0.15144E+01
   216    0.55349E+04    0.69911E+00    0.14971E-01   -0.14525E+00
   217    0.55405E+04    0.70932E+00    0.15127E-01    0.12385E+01
   218    0.55454E+04    0.72068E+00    0.15283E-01    0.26372E+01
   219    0.55498E+04    0.73320E+00    0.15440E-01    0.40519E+01
   220    0.55537E+04    0.74700E+00    0.15597E-01    0.54782E+01
   221    0.55570E+04    0.76203E+00    0.15755E-01    0.69186E+01
   222    0.55597E+04    0.77842E+00    0.15914E-01    0.83715E+01
   223    0.55618E+04    0.79610E+00    0.16073E-01    0.98380E+01
   224    0.55634E+04    0.81508E+00    0.16233E-01    0.11314E+02
   225    0.55644E+04    0.83549E+00    0.16394E-01    0.12803E+02
   226    0.55648E+04    0.85734E+00    0.16555E-01    0.14302E+02
   227    0.55646E+04    0.88063E+00    0.16717E-01    0.15811E+02
   228    0.55639E+04    0.90534E+00    0.16879E-01    0.17330E+02
   229    0.55626E+04    0.93157E+00    0.17041E-01    0.18857E+02
   230    0.55607E+04    0.95930E+00    0.17204E-01    0.20393E+02
   231    0.55581E+04    0.98861E+00    0.17368E-01    0.21938E+02
   232    0.55551E+04    0.10194E+01    0.17532E-01    0.23489E+02
   233    0.55515E+04    0.10520E+01    0.17697E-01    0.25046E+02
   234    0.55471E+04    0.10861E+01    0.17861E-01    0.26610E+02
   235    0.55423E+04    0.11218E+01    0.18027E-01    0.28178E+02
   236    0.55368E+04    0.11592E+01    0.18192E-01    0.29752E+02
   237    0.55307E+04    0.11984E+01    0.18358E-01    0.31330E+02
   238    0.55240E+04    0.12393E+01    0.18525E-01    0.32911E+02
   239    0.55169E+04    0.12818E+01    0.18691E-01    0.34496E+02
   240    0.55090E+04    0.13261E+01    0.18858E-01    0.36082E+02
   241    0.55006E+04    0.13723E+01    0.19025E-01    0.37669E+02
   242    0.54917E+04    0.14201E+01    0.19193E-01    0.39259E+02
   243    0.54822E+04    0.14698E+01    0.19360E-01    0.40848E+02
   244    0.54721E+04    0.15213E+01    0.19528E-01    0.42438E+02
   245    0.54615E+04    0.15747E+01    0.19696E-01    0.44026E+02
   246    0.54503E+04    0.16299E+01    0.19864E-01    0.45613E+02
   247    0.54386E+04    0.16869E+01    0.20032E-01    0.47198E+02
   248    0.54262E+04    0.17460E+01    0.20200E-01    0.48781E+02
   249    0.54135E+04    0.18068E+01    0.20369E-01    0.50360E+02
   250    0.54001E+04    0.18696E+01    0.20537E-01    0.51936E+02
   251    0.53863E+04    0.19343E+01    0.20706E-01    0.53507E+02
   252    0.53719E+04    0.20009E+01    0.20874E-01    0.55073E+02
   253    0.53571E+04    0.20693E+01    0.21042E-01    0.56633E+02
   254    0.53417E+04    0.21398E+01    0.21211E-01    0.58186E+02
   255    0.53258E+04    0.22122E+01    0.21379E-01    0.59733E+02
   256    0.53095E+04    0.22867E+01    0.21547E-01    0.61273E+02
   257    0.52926E+04    0.23631E+01    0.21715E-01    0.62798E+02
   258    0.52753E+04    0.24415E+01    0.21883E-01    0.64322E+02
   259    0.52575E+04    0.25220E+01    0.22051E-01    0.65828E+02
   260    0.52393E+04    0.26045E+01    0.22218E-01    0.67332E+02
   261    0.52205E+04    0.26889E+01    0.22386E-01    0.68812E+02
   262    0.52013E+04    0.27756E+01    0.22553E-01    0.70289E+02
   263    0.51818E+04    0.28642E+01    0.22720E-01    0.71757E+02
