#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.139435E-02   0.209183E+08   0.209141E+08  -0.206846E+06  -0.217260E+06   0.000000E+00   0.209176E+08   0.209176E+08   0.209176E+08  -0.642591E+00   0.114722E+08   0.114714E+08   0.182043E+03
   0.154009E-02   0.209821E+08   0.209779E+08  -0.119447E+06  -0.442067E+06   0.000000E+00   0.209814E+08   0.209814E+08   0.209813E+08  -0.657622E+00   0.115186E+08   0.115178E+08   0.164366E+03
   0.170105E-02   0.210243E+08   0.210200E+08  -0.934775E+05  -0.287393E+06   0.000000E+00   0.210235E+08   0.210235E+08   0.210235E+08  -0.672507E+00   0.115571E+08   0.115563E+08   0.146993E+03
   0.187885E-02   0.210437E+08   0.210395E+08  -0.123787E+06  -0.175200E+06   0.000000E+00   0.210430E+08   0.210430E+08   0.210430E+08  -0.687134E+00   0.115870E+08   0.115863E+08   0.130747E+03
   0.207522E-02   0.210398E+08   0.210355E+08  -0.848106E+05  -0.951473E+05   0.000000E+00   0.210391E+08   0.210391E+08   0.210390E+08  -0.701346E+00   0.116075E+08   0.116068E+08   0.116226E+03
   0.229212E-02   0.210117E+08   0.210074E+08  -0.361173E+05  -0.392945E+05   0.000000E+00   0.210109E+08   0.210109E+08   0.210109E+08  -0.714956E+00   0.116175E+08   0.116167E+08   0.103797E+03
   0.253169E-02   0.209586E+08   0.209542E+08  -0.446639E+05  -0.153070E+04   0.000000E+00   0.209579E+08   0.209579E+08   0.209579E+08  -0.727757E+00   0.116156E+08   0.116149E+08   0.934446E+02
   0.279630E-02   0.208799E+08   0.208753E+08  -0.139429E+05   0.228523E+05   0.000000E+00   0.208791E+08   0.208791E+08   0.208791E+08  -0.739527E+00   0.116007E+08   0.116000E+08   0.847073E+02
   0.308856E-02   0.207745E+08   0.207696E+08  -0.125375E+05   0.374934E+05   0.000000E+00   0.207736E+08   0.207736E+08   0.207737E+08  -0.750054E+00   0.115715E+08   0.115708E+08   0.769522E+02
   0.341138E-02   0.206415E+08   0.206364E+08  -0.601029E+03   0.451796E+05   0.000000E+00   0.206406E+08   0.206406E+08   0.206407E+08  -0.759130E+00   0.115267E+08   0.115260E+08   0.696308E+02
   0.376793E-02   0.204800E+08   0.204747E+08  -0.145158E+04   0.480302E+05   0.000000E+00   0.204791E+08   0.204791E+08   0.204791E+08  -0.766562E+00   0.114652E+08   0.114645E+08   0.626039E+02
   0.416175E-02   0.202890E+08   0.202833E+08   0.133388E+05   0.476343E+05   0.000000E+00   0.202881E+08   0.202881E+08   0.202881E+08  -0.772169E+00   0.113859E+08   0.113852E+08   0.561107E+02
   0.459673E-02   0.200675E+08   0.200614E+08   0.163525E+05   0.451681E+05   0.000000E+00   0.200664E+08   0.200664E+08   0.200664E+08  -0.775788E+00   0.112877E+08   0.112870E+08   0.504213E+02
   0.507717E-02   0.198143E+08   0.198077E+08   0.125064E+05   0.414851E+05   0.000000E+00   0.198132E+08   0.198132E+08   0.198132E+08  -0.777273E+00   0.111698E+08   0.111691E+08   0.454654E+02
   0.560783E-02   0.195284E+08   0.195212E+08   0.142354E+05   0.371917E+05   0.000000E+00   0.195272E+08   0.195272E+08   0.195272E+08  -0.776497E+00   0.110312E+08   0.110305E+08   0.409448E+02
   0.619395E-02   0.192088E+08   0.192009E+08   0.119608E+05   0.327070E+05   0.000000E+00   0.192075E+08   0.192075E+08   0.192075E+08  -0.773355E+00   0.108713E+08   0.108706E+08   0.367643E+02
   0.684134E-02   0.188543E+08   0.188455E+08   0.121583E+05   0.283090E+05   0.000000E+00   0.188528E+08   0.188528E+08   0.188528E+08  -0.767761E+00   0.106891E+08   0.106884E+08   0.330542E+02
   0.755639E-02   0.184638E+08   0.184540E+08   0.119928E+05   0.241725E+05   0.000000E+00   0.184622E+08   0.184622E+08   0.184622E+08  -0.759647E+00   0.104842E+08   0.104835E+08   0.297691E+02
   0.834617E-02   0.180362E+08   0.180251E+08   0.120883E+05   0.203974E+05   0.000000E+00   0.180343E+08   0.180343E+08   0.180343E+08  -0.748968E+00   0.102558E+08   0.102551E+08   0.267875E+02
   0.921850E-02   0.175703E+08   0.175577E+08   0.951286E+04   0.170304E+05   0.000000E+00   0.175682E+08   0.175682E+08   0.175682E+08  -0.735691E+00   0.100033E+08   0.100026E+08   0.241368E+02
   0.101820E-01   0.170648E+08   0.170505E+08   0.945000E+04   0.140822E+05   0.000000E+00   0.170624E+08   0.170624E+08   0.170624E+08  -0.719801E+00   0.972621E+07   0.972554E+07   0.217727E+02
   0.112462E-01   0.165188E+08   0.165024E+08   0.705683E+04   0.115398E+05   0.000000E+00   0.165160E+08   0.165160E+08   0.165160E+08  -0.701296E+00   0.942398E+07   0.942332E+07   0.196641E+02
   0.124217E-01   0.159311E+08   0.159123E+08   0.620586E+04   0.937562E+04   0.000000E+00   0.159279E+08   0.159279E+08   0.159279E+08  -0.680188E+00   0.909618E+07   0.909552E+07   0.177888E+02
   0.137199E-01   0.153008E+08   0.152793E+08   0.517112E+04   0.755425E+04   0.000000E+00   0.152972E+08   0.152972E+08   0.152972E+08  -0.656504E+00   0.874248E+07   0.874182E+07   0.161189E+02
   0.151539E-01   0.146277E+08   0.146032E+08   0.477063E+04   0.603693E+04   0.000000E+00   0.146236E+08   0.146236E+08   0.146236E+08  -0.630293E+00   0.836282E+07   0.836215E+07   0.146276E+02
