#    L    TT             EE             BB             TE          
   128    0.34330E+04    0.10047E+01    0.46865E-02   -0.36977E+02
   129    0.34658E+04    0.10110E+01    0.47631E-02   -0.37447E+02
   130    0.34986E+04    0.10170E+01    0.48405E-02   -0.37905E+02
   131    0.35314E+04    0.10226E+01    0.49187E-02   -0.38351E+02
   132    0.35643E+04    0.10277E+01    0.49976E-02   -0.38783E+02
   133    0.35971E+04    0.10325E+01    0.50774E-02   -0.39203E+02
   134    0.36299E+04    0.10369E+01    0.51579E-02   -0.39607E+02
   135    0.36627E+04    0.10408E+01    0.52392E-02   -0.39998E+02
   136    0.36954E+04    0.10442E+01    0.53213E-02   -0.40372E+02
   137    0.37281E+04    0.10473E+01    0.54043E-02   -0.40731E+02
   138    0.37608E+04    0.10498E+01    0.54880E-02   -0.41074E+02
   139    0.37932E+04    0.10521E+01    0.55726E-02   -0.41400E+02
   140    0.38258E+04    0.10538E+01    0.56581E-02   -0.41710E+02
   141    0.38581E+04    0.10550E+01    0.57444E-02   -0.42002E+02
   142    0.38905E+04    0.10559E+01    0.58316E-02   -0.42276E+02
   143    0.39228E+04    0.10563E+01    0.59196E-02   -0.42533E+02
   144    0.39550E+04    0.10562E+01    0.60085E-02   -0.42772E+02
   145    0.39870E+04    0.10558E+01    0.60983E-02   -0.42992E+02
   146    0.40191E+04    0.10548E+01    0.61891E-02   -0.43194E+02
   147    0.40509E+04    0.10535E+01    0.62807E-02   -0.43375E+02
   148    0.40826E+04    0.10517E+01    0.63732E-02   -0.43538E+02
   149    0.41142E+04    0.10495E+01    0.64667E-02   -0.43680E+02
   150    0.41456E+04    0.10469E+01    0.65611E-02   -0.43800E+02
   151    0.41769E+04    0.10439E+01    0.66564E-02   -0.43901E+02
   152    0.42079E+04    0.10405E+01    0.67527E-02   -0.43981E+02
   153    0.42389E+04    0.10366E+01    0.68499E-02   -0.44038E+02
   154    0.42696E+04    0.10324E+01    0.69481E-02   -0.44074E+02
   155    0.43002E+04    0.10278E+01    0.70472E-02   -0.44088E+02
   156    0.43304E+04    0.10229E+01    0.71474E-02   -0.44081E+02
   157    0.43607E+04    0.10176E+01    0.72485E-02   -0.44051E+02
   158    0.43906E+04    0.10120E+01    0.73505E-02   -0.43997E+02
   159    0.44204E+04    0.10059E+01    0.74536E-02   -0.43922E+02
   160    0.44499E+04    0.99952E+00    0.75576E-02   -0.43822E+02
   161    0.44793E+04    0.99290E+00    0.76627E-02   -0.43700E+02
   162    0.45084E+04    0.98588E+00    0.77687E-02   -0.43555E+02
   163    0.45374E+04    0.97853E+00    0.78757E-02   -0.43385E+02
   164    0.45660E+04    0.97093E+00    0.79838E-02   -0.43193E+02
   165    0.45945E+04    0.96300E+00    0.80928E-02   -0.42976E+02
   166    0.46228E+04    0.95488E+00    0.82028E-02   -0.42736E+02
   167    0.46509E+04    0.94634E+00    0.83138E-02   -0.42472E+02
   168    0.46786E+04    0.93775E+00    0.84258E-02   -0.42183E+02
   169    0.47060E+04    0.92881E+00    0.85388E-02   -0.41870E+02
   170    0.47333E+04    0.91974E+00    0.86528E-02   -0.41532E+02
   171    0.47601E+04    0.91054E+00    0.87678E-02   -0.41169E+02
   172    0.47865E+04    0.90112E+00    0.88838E-02   -0.40781E+02
   173    0.48126E+04    0.89148E+00    0.90008E-02   -0.40368E+02
   174    0.48385E+04    0.88191E+00    0.91187E-02   -0.39931E+02
   175    0.48640E+04    0.87212E+00    0.92377E-02   -0.39468E+02
   176    0.48890E+04    0.86232E+00    0.93576E-02   -0.38980E+02
   177    0.49138E+04    0.85243E+00    0.94784E-02   -0.38468E+02
   178    0.49381E+04    0.84266E+00    0.96003E-02   -0.37930E+02
   179    0.49621E+04    0.83272E+00    0.97231E-02   -0.37366E+02
   180    0.49858E+04    0.82282E+00    0.98469E-02   -0.36779E+02
   181    0.50090E+04    0.81295E+00    0.99716E-02   -0.36167E+02
   182    0.50318E+04    0.80318E+00    0.10097E-01   -0.35528E+02
   183    0.50542E+04    0.79344E+00    0.10224E-01   -0.34866E+02
   184    0.50763E+04    0.78378E+00    0.10351E-01   -0.34178E+02
   185    0.50980E+04    0.77436E+00    0.10480E-01   -0.33467E+02
   186    0.51189E+04    0.76501E+00    0.10609E-01   -0.32729E+02
   187    0.51397E+04    0.75589E+00    0.10739E-01   -0.31967E+02
   188    0.51601E+04    0.74696E+00    0.10871E-01   -0.31181E+02
   189    0.51799E+04    0.73826E+00    0.11003E-01   -0.30370E+02
   190    0.51996E+04    0.72983E+00    0.11136E-01   -0.29536E+02
   191    0.52185E+04    0.72169E+00    0.11270E-01   -0.28677E+02
   192    0.52371E+04    0.71385E+00    0.11405E-01   -0.27793E+02
   193    0.52552E+04    0.70636E+00    0.11540E-01   -0.26887E+02
   194    0.52730E+04    0.69924E+00    0.11677E-01   -0.25957E+02
   195    0.52902E+04    0.69251E+00    0.11814E-01   -0.25004E+02
   196    0.53069E+04    0.68620E+00    0.11952E-01   -0.24027E+02
   197    0.53232E+04    0.68037E+00    0.12091E-01   -0.23028E+02
   198    0.53391E+04    0.67501E+00    0.12231E-01   -0.22007E+02
   199    0.53545E+04    0.67017E+00    0.12372E-01   -0.20963E+02
   200    0.53694E+04    0.66586E+00    0.12514E-01   -0.19898E+02
   201    0.53839E+04    0.66214E+00    0.12656E-01   -0.18811E+02
   202    0.53978E+04    0.65901E+00    0.12799E-01   -0.17702E+02
   203    0.54113E+04    0.65654E+00    0.12944E-01   -0.16572E+02
   204    0.54241E+04    0.65474E+00    0.13088E-01   -0.15423E+02
   205    0.54365E+04    0.65365E+00    0.13234E-01   -0.14253E+02
   206    0.54483E+04    0.65333E+00    0.13380E-01   -0.13062E+02
   207    0.54596E+04    0.65377E+00    0.13528E-01   -0.11852E+02
   208    0.54702E+04    0.65504E+00    0.13676E-01   -0.10623E+02
   209    0.54803E+04    0.65716E+00    0.13824E-01   -0.93740E+01
   210    0.54898E+04    0.66018E+00    0.13974E-01   -0.81071E+01
   211    0.54988E+04    0.66412E+00    0.14124E-01   -0.68219E+01
   212    0.55072E+04    0.66902E+00    0.14275E-01   -0.55192E+01
   213    0.55150E+04    0.67492E+00    0.14427E-01   -0.41989E+01
   214    0.55222E+04    0.68181E+00    0.14579E-01   -0.28620E+01
   215    0.55289E+04    0.68988E+00    0.14732E-01   -0.15092E+01
   216    0.55350E+04    0.69894E+00    0.14886E-01   -0.13996E+00
   217    0.55405E+04    0.70916E+00    0.15041E-01    0.12439E+01
