#    L    TT             EE             BB             TE             PP             TP             EP          
    78    0.19560E+04    0.38830E+00    0.00000E+00   -0.84502E+01    0.13494E-06   -0.23322E-03   -0.81151E-06
    79    0.19808E+04    0.40153E+00    0.00000E+00   -0.89363E+01    0.13396E-06   -0.22314E-03   -0.78624E-06
    80    0.20059E+04    0.41492E+00    0.00000E+00   -0.94322E+01    0.13299E-06   -0.21351E-03   -0.74483E-06
    81    0.20312E+04    0.42842E+00    0.00000E+00   -0.99385E+01    0.13202E-06   -0.20435E-03   -0.69097E-06
    82    0.20566E+04    0.44204E+00    0.00000E+00   -0.10454E+02    0.13106E-06   -0.19566E-03   -0.63289E-06
    83    0.20823E+04    0.45577E+00    0.00000E+00   -0.10979E+02    0.13010E-06   -0.18741E-03   -0.57999E-06
    84    0.21082E+04    0.46960E+00    0.00000E+00   -0.11512E+02    0.12916E-06   -0.17956E-03   -0.54163E-06
    85    0.21342E+04    0.48350E+00    0.00000E+00   -0.12052E+02    0.12822E-06   -0.17209E-03   -0.52716E-06
    86    0.21604E+04    0.49749E+00    0.00000E+00   -0.12600E+02    0.12729E-06   -0.16497E-03   -0.54284E-06
    87    0.21870E+04    0.51154E+00    0.00000E+00   -0.13154E+02    0.12636E-06   -0.15815E-03   -0.58247E-06
    88    0.22136E+04    0.52566E+00    0.00000E+00   -0.13714E+02    0.12544E-06   -0.15160E-03   -0.63678E-06
    89    0.22406E+04    0.53985E+00    0.00000E+00   -0.14283E+02    0.12453E-06   -0.14528E-03   -0.69647E-06
    90    0.22677E+04    0.55407E+00    0.00000E+00   -0.14856E+02    0.12363E-06   -0.13915E-03   -0.75229E-06
    91    0.22950E+04    0.56832E+00    0.00000E+00   -0.15436E+02    0.12273E-06   -0.13319E-03   -0.79667E-06
    92    0.23225E+04    0.58258E+00    0.00000E+00   -0.16020E+02    0.12185E-06   -0.12737E-03   -0.82893E-06
    93    0.23504E+04    0.59685E+00    0.00000E+00   -0.16610E+02    0.12096E-06   -0.12171E-03   -0.85009E-06
    94    0.23783E+04    0.61110E+00    0.00000E+00   -0.17204E+02    0.12009E-06   -0.11620E-03   -0.86118E-06
    95    0.24064E+04    0.62531E+00    0.00000E+00   -0.17802E+02    0.11922E-06   -0.11084E-03   -0.86321E-06
    96    0.24346E+04    0.63949E+00    0.00000E+00   -0.18405E+02    0.11836E-06   -0.10563E-03   -0.85722E-06
    97    0.24632E+04    0.65362E+00    0.00000E+00   -0.19011E+02    0.11751E-06   -0.10057E-03   -0.84421E-06
    98    0.24920E+04    0.66769E+00    0.00000E+00   -0.19619E+02    0.11667E-06   -0.95657E-04   -0.82521E-06
    99    0.25208E+04    0.68167E+00    0.00000E+00   -0.20231E+02    0.11583E-06   -0.90888E-04   -0.80124E-06
   100    0.25500E+04    0.69555E+00    0.00000E+00   -0.20843E+02    0.11500E-06   -0.86266E-04   -0.77332E-06
   101    0.25793E+04    0.70940E+00    0.00000E+00   -0.21458E+02    0.11417E-06   -0.81788E-04   -0.74246E-06
   102    0.26091E+04    0.72308E+00    0.00000E+00   -0.22074E+02    0.11336E-06   -0.77455E-04   -0.70968E-06
   103    0.26388E+04    0.73665E+00    0.00000E+00   -0.22692E+02    0.11255E-06   -0.73264E-04   -0.67599E-06
   104    0.26688E+04    0.75013E+00    0.00000E+00   -0.23309E+02    0.11174E-06   -0.69216E-04   -0.64242E-06
   105    0.26989E+04    0.76343E+00    0.00000E+00   -0.23927E+02    0.11095E-06   -0.65308E-04   -0.60998E-06
   106    0.27292E+04    0.77664E+00    0.00000E+00   -0.24545E+02    0.11016E-06   -0.61542E-04   -0.57968E-06
   107    0.27595E+04    0.78960E+00    0.00000E+00   -0.25161E+02    0.10937E-06   -0.57915E-04   -0.55254E-06
   108    0.27901E+04    0.80239E+00    0.00000E+00   -0.25776E+02    0.10860E-06   -0.54426E-04   -0.52956E-06
   109    0.28209E+04    0.81495E+00    0.00000E+00   -0.26390E+02    0.10783E-06   -0.51076E-04   -0.51177E-06
   110    0.28518E+04    0.82726E+00    0.00000E+00   -0.27000E+02    0.10707E-06   -0.47862E-04   -0.50018E-06
   111    0.28828E+04    0.83942E+00    0.00000E+00   -0.27609E+02    0.10631E-06   -0.44784E-04   -0.49552E-06
   112    0.29140E+04    0.85133E+00    0.00000E+00   -0.28215E+02    0.10556E-06   -0.41837E-04   -0.49746E-06
   113    0.29455E+04    0.86301E+00    0.00000E+00   -0.28817E+02    0.10482E-06   -0.39015E-04   -0.50537E-06
   114    0.29770E+04    0.87438E+00    0.00000E+00   -0.29415E+02    0.10409E-06   -0.36312E-04   -0.51865E-06
   115    0.30087E+04    0.88559E+00    0.00000E+00   -0.30007E+02    0.10336E-06   -0.33724E-04   -0.53668E-06
   116    0.30405E+04    0.89641E+00    0.00000E+00   -0.30595E+02    0.10264E-06   -0.31244E-04   -0.55884E-06
   117    0.30726E+04    0.90691E+00    0.00000E+00   -0.31176E+02    0.10192E-06   -0.28866E-04   -0.58453E-06
   118    0.31048E+04    0.91726E+00    0.00000E+00   -0.31752E+02    0.10121E-06   -0.26587E-04   -0.61312E-06
   119    0.31370E+04    0.92730E+00    0.00000E+00   -0.32320E+02    0.10051E-06   -0.24399E-04   -0.64401E-06
   120    0.31694E+04    0.93687E+00    0.00000E+00   -0.32881E+02    0.99816E-07   -0.22298E-04   -0.67658E-06
   121    0.32018E+04    0.94628E+00    0.00000E+00   -0.33434E+02    0.99127E-07   -0.20278E-04   -0.71022E-06
   122    0.32343E+04    0.95524E+00    0.00000E+00   -0.33978E+02    0.98443E-07   -0.18333E-04   -0.74432E-06
   123    0.32669E+04    0.96380E+00    0.00000E+00   -0.34515E+02    0.97766E-07   -0.16458E-04   -0.77826E-06
   124    0.32996E+04    0.97206E+00    0.00000E+00   -0.35040E+02    0.97095E-07   -0.14648E-04   -0.81144E-06
   125    0.33322E+04    0.97993E+00    0.00000E+00   -0.35557E+02    0.96431E-07   -0.12896E-04   -0.84325E-06
   126    0.33649E+04    0.98749E+00    0.00000E+00   -0.36063E+02    0.95772E-07   -0.11198E-04   -0.87306E-06
   127    0.33977E+04    0.99459E+00    0.00000E+00   -0.36559E+02    0.95120E-07   -0.95485E-05   -0.90027E-06
   128    0.34304E+04    0.10014E+01    0.00000E+00   -0.37044E+02    0.94473E-07   -0.79410E-05   -0.92428E-06
   129    0.34633E+04    0.10077E+01    0.00000E+00   -0.37517E+02    0.93832E-07   -0.63705E-05   -0.94446E-06
   130    0.34961E+04    0.10136E+01    0.00000E+00   -0.37977E+02    0.93198E-07   -0.48315E-05   -0.96021E-06
   131    0.35289E+04    0.10191E+01    0.00000E+00   -0.38427E+02    0.92569E-07   -0.33197E-05   -0.97108E-06
   132    0.35619E+04    0.10242E+01    0.00000E+00   -0.38862E+02    0.91946E-07   -0.18345E-05   -0.97726E-06
   133    0.35947E+04    0.10289E+01    0.00000E+00   -0.39285E+02    0.91329E-07   -0.37655E-06   -0.97912E-06
   134    0.36276E+04    0.10332E+01    0.00000E+00   -0.39692E+02    0.90718E-07    0.10534E-05   -0.97702E-06
   135    0.36604E+04    0.10371E+01    0.00000E+00   -0.40086E+02    0.90112E-07    0.24549E-05   -0.97129E-06
   136    0.36932E+04    0.10405E+01    0.00000E+00   -0.40463E+02    0.89512E-07    0.38272E-05   -0.96232E-06
   137    0.37260E+04    0.10434E+01    0.00000E+00   -0.40825E+02    0.88917E-07    0.51697E-05   -0.95045E-06
   138    0.37587E+04    0.10459E+01    0.00000E+00   -0.41171E+02    0.88328E-07    0.64818E-05   -0.93604E-06
