#    L    TT             EE             BB             TE             PP             TP             EP          
    84    0.22634E+04    0.55294E+00    0.60882E-01   -0.14208E+02    0.12895E-06   -0.13186E-03   -0.56030E-06
    85    0.22856E+04    0.56759E+00    0.61048E-01   -0.14739E+02    0.12804E-06   -0.12665E-03   -0.54538E-06
    86    0.23080E+04    0.58229E+00    0.61187E-01   -0.15276E+02    0.12714E-06   -0.12166E-03   -0.56060E-06
    87    0.23308E+04    0.59703E+00    0.61297E-01   -0.15818E+02    0.12624E-06   -0.11687E-03   -0.59979E-06
    88    0.23537E+04    0.61181E+00    0.61379E-01   -0.16365E+02    0.12536E-06   -0.11225E-03   -0.65365E-06
    89    0.23770E+04    0.62662E+00    0.61432E-01   -0.16918E+02    0.12447E-06   -0.10778E-03   -0.71290E-06
    90    0.24005E+04    0.64144E+00    0.61458E-01   -0.17475E+02    0.12360E-06   -0.10341E-03   -0.76828E-06
    91    0.24241E+04    0.65625E+00    0.61455E-01   -0.18036E+02    0.12273E-06   -0.99136E-04   -0.81223E-06
    92    0.24481E+04    0.67104E+00    0.61424E-01   -0.18601E+02    0.12187E-06   -0.94943E-04   -0.84407E-06
    93    0.24725E+04    0.68580E+00    0.61366E-01   -0.19170E+02    0.12101E-06   -0.90835E-04   -0.86482E-06
    94    0.24969E+04    0.70050E+00    0.61281E-01   -0.19742E+02    0.12016E-06   -0.86813E-04   -0.87550E-06
    95    0.25216E+04    0.71515E+00    0.61170E-01   -0.20317E+02    0.11932E-06   -0.82880E-04   -0.87713E-06
    96    0.25464E+04    0.72972E+00    0.61034E-01   -0.20895E+02    0.11848E-06   -0.79037E-04   -0.87074E-06
    97    0.25717E+04    0.74420E+00    0.60872E-01   -0.21475E+02    0.11765E-06   -0.75285E-04   -0.85735E-06
    98    0.25972E+04    0.75860E+00    0.60685E-01   -0.22055E+02    0.11683E-06   -0.71626E-04   -0.83797E-06
    99    0.26229E+04    0.77286E+00    0.60474E-01   -0.22639E+02    0.11601E-06   -0.68061E-04   -0.81363E-06
   100    0.26488E+04    0.78701E+00    0.60240E-01   -0.23222E+02    0.11520E-06   -0.64591E-04   -0.78535E-06
   101    0.26750E+04    0.80108E+00    0.59982E-01   -0.23807E+02    0.11440E-06   -0.61219E-04   -0.75413E-06
   102    0.27018E+04    0.81495E+00    0.59702E-01   -0.24392E+02    0.11360E-06   -0.57946E-04   -0.72101E-06
   103    0.27285E+04    0.82869E+00    0.59399E-01   -0.24977E+02    0.11281E-06   -0.54773E-04   -0.68699E-06
   104    0.27555E+04    0.84229E+00    0.59075E-01   -0.25562E+02    0.11202E-06   -0.51701E-04   -0.65310E-06
   105    0.27827E+04    0.85568E+00    0.58730E-01   -0.26145E+02    0.11124E-06   -0.48732E-04   -0.62034E-06
   106    0.28102E+04    0.86895E+00    0.58365E-01   -0.26728E+02    0.11047E-06   -0.45869E-04   -0.58973E-06
   107    0.28377E+04    0.88194E+00    0.57979E-01   -0.27309E+02    0.10970E-06   -0.43111E-04   -0.56229E-06
   108    0.28656E+04    0.89473E+00    0.57573E-01   -0.27889E+02    0.10894E-06   -0.40461E-04   -0.53903E-06
   109    0.28937E+04    0.90724E+00    0.57149E-01   -0.28466E+02    0.10819E-06   -0.37920E-04   -0.52096E-06
   110    0.29220E+04    0.91949E+00    0.56706E-01   -0.29039E+02    0.10744E-06   -0.35490E-04   -0.50910E-06
   111    0.29505E+04    0.93154E+00    0.56245E-01   -0.29610E+02    0.10670E-06   -0.33171E-04   -0.50418E-06
   112    0.29792E+04    0.94332E+00    0.55767E-01   -0.30177E+02    0.10597E-06   -0.30959E-04   -0.50587E-06
   113    0.30082E+04    0.95483E+00    0.55272E-01   -0.30741E+02    0.10524E-06   -0.28850E-04   -0.51355E-06
   114    0.30374E+04    0.96600E+00    0.54762E-01   -0.31299E+02    0.10452E-06   -0.26838E-04   -0.52660E-06
   115    0.30668E+04    0.97697E+00    0.54236E-01   -0.31852E+02    0.10380E-06   -0.24918E-04   -0.54441E-06
   116    0.30963E+04    0.98753E+00    0.53696E-01   -0.32399E+02    0.10309E-06   -0.23086E-04   -0.56636E-06
   117    0.31262E+04    0.99775E+00    0.53141E-01   -0.32940E+02    0.10239E-06   -0.21337E-04   -0.59184E-06
   118    0.31563E+04    0.10078E+01    0.52574E-01   -0.33476E+02    0.10169E-06   -0.19666E-04   -0.62024E-06
   119    0.31864E+04    0.10175E+01    0.51994E-01   -0.34003E+02    0.10100E-06   -0.18068E-04   -0.65094E-06
   120    0.32168E+04    0.10267E+01    0.51403E-01   -0.34523E+02    0.10031E-06   -0.16538E-04   -0.68332E-06
   121    0.32472E+04    0.10357E+01    0.50800E-01   -0.35035E+02    0.99633E-07   -0.15071E-04   -0.71678E-06
