#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    61    0.15707E+04   -0.18138E+01   -0.76825E-05   -0.18138E+01    0.19293E+00   -0.10347E-07   -0.76825E-05   -0.10347E-07    0.40326E-10
    62    0.15916E+04   -0.21087E+01   -0.72395E-05   -0.21087E+01    0.20258E+00   -0.99924E-08   -0.72395E-05   -0.99924E-08    0.38770E-10
    63    0.16126E+04   -0.24171E+01   -0.68229E-05   -0.24171E+01    0.21250E+00   -0.98654E-08   -0.68229E-05   -0.98654E-08    0.37293E-10
    64    0.16340E+04   -0.27403E+01   -0.64331E-05   -0.27403E+01    0.22272E+00   -0.97619E-08   -0.64331E-05   -0.97619E-08    0.35888E-10
    65    0.16555E+04   -0.30786E+01   -0.60706E-05   -0.30786E+01    0.23320E+00   -0.94780E-08   -0.60706E-05   -0.94780E-08    0.34553E-10
    66    0.16772E+04   -0.34304E+01   -0.57352E-05   -0.34304E+01    0.24389E+00   -0.88759E-08   -0.57352E-05   -0.88759E-08    0.33282E-10
    67    0.16991E+04   -0.37927E+01   -0.54245E-05   -0.37927E+01    0.25477E+00   -0.80836E-08   -0.54245E-05   -0.80836E-08    0.32072E-10
    68    0.17214E+04   -0.41640E+01   -0.51357E-05   -0.41640E+01    0.26590E+00   -0.72955E-08   -0.51357E-05   -0.72955E-08    0.30919E-10
    69    0.17439E+04   -0.45425E+01   -0.48656E-05   -0.45425E+01    0.27723E+00   -0.67060E-08   -0.48656E-05   -0.67060E-08    0.29821E-10
    70    0.17666E+04   -0.49300E+01   -0.46115E-05   -0.49300E+01    0.28880E+00   -0.65096E-08   -0.46115E-05   -0.65096E-08    0.28773E-10
    71    0.17896E+04   -0.53289E+01   -0.43706E-05   -0.53289E+01    0.30059E+00   -0.68358E-08   -0.43706E-05   -0.68358E-08    0.27772E-10
    72    0.18126E+04   -0.57404E+01   -0.41417E-05   -0.57404E+01    0.31260E+00   -0.75553E-08   -0.41417E-05   -0.75553E-08    0.26817E-10
    73    0.18358E+04   -0.61650E+01   -0.39238E-05   -0.61650E+01    0.32477E+00   -0.84737E-08   -0.39238E-05   -0.84737E-08    0.25904E-10
    74    0.18593E+04   -0.66017E+01   -0.37160E-05   -0.66017E+01    0.33711E+00   -0.93968E-08   -0.37160E-05   -0.93968E-08    0.25032E-10
    75    0.18830E+04   -0.70488E+01   -0.35171E-05   -0.70488E+01    0.34963E+00   -0.10130E-07   -0.35171E-05   -0.10130E-07    0.24197E-10
    76    0.19070E+04   -0.75056E+01   -0.33266E-05   -0.75056E+01    0.36234E+00   -0.10521E-07   -0.33266E-05   -0.10521E-07    0.23398E-10
    77    0.19313E+04   -0.79721E+01   -0.31445E-05   -0.79721E+01    0.37522E+00   -0.10578E-07   -0.31445E-05   -0.10578E-07    0.22632E-10
    78    0.19560E+04   -0.84502E+01   -0.29712E-05   -0.84502E+01    0.38830E+00   -0.10353E-07   -0.29712E-05   -0.10353E-07    0.21899E-10
    79    0.19808E+04   -0.89363E+01   -0.28070E-05   -0.89363E+01    0.40153E+00   -0.98939E-08   -0.28070E-05   -0.98939E-08    0.21196E-10
    80    0.20059E+04   -0.94322E+01   -0.26523E-05   -0.94322E+01    0.41492E+00   -0.92527E-08   -0.26523E-05   -0.92527E-08    0.20523E-10
    81    0.20312E+04   -0.99385E+01   -0.25073E-05   -0.99385E+01    0.42842E+00   -0.84881E-08   -0.25073E-05   -0.84881E-08    0.19876E-10
    82    0.20566E+04   -0.10454E+02   -0.23716E-05   -0.10454E+02    0.44204E+00   -0.76943E-08   -0.23716E-05   -0.76943E-08    0.19256E-10
    83    0.20823E+04   -0.10979E+02   -0.22443E-05   -0.10979E+02    0.45577E+00   -0.69740E-08   -0.22443E-05   -0.69740E-08    0.18661E-10
    84    0.21082E+04   -0.11512E+02   -0.21250E-05   -0.11512E+02    0.46960E+00   -0.64302E-08   -0.21250E-05   -0.64302E-08    0.18089E-10
    85    0.21342E+04   -0.12052E+02   -0.20128E-05   -0.12052E+02    0.48350E+00   -0.61657E-08   -0.20128E-05   -0.61657E-08    0.17540E-10
    86    0.21604E+04   -0.12600E+02   -0.19072E-05   -0.12600E+02    0.49749E+00   -0.62490E-08   -0.19072E-05   -0.62490E-08    0.17013E-10
    87    0.21870E+04   -0.13154E+02   -0.18075E-05   -0.13154E+02    0.51154E+00   -0.66100E-08   -0.18075E-05   -0.66100E-08    0.16505E-10
    88    0.22136E+04   -0.13714E+02   -0.17131E-05   -0.13714E+02    0.52566E+00   -0.71440E-08   -0.17131E-05   -0.71440E-08    0.16018E-10
    89    0.22406E+04   -0.14283E+02   -0.16233E-05   -0.14283E+02    0.53985E+00   -0.77464E-08   -0.16233E-05   -0.77464E-08    0.15548E-10
    90    0.22677E+04   -0.14856E+02   -0.15376E-05   -0.14856E+02    0.55407E+00   -0.83127E-08   -0.15376E-05   -0.83127E-08    0.15095E-10
    91    0.22950E+04   -0.15436E+02   -0.14555E-05   -0.15436E+02    0.56832E+00   -0.87574E-08   -0.14555E-05   -0.87574E-08    0.14659E-10
    92    0.23225E+04   -0.16020E+02   -0.13767E-05   -0.16020E+02    0.58258E+00   -0.90719E-08   -0.13767E-05   -0.90719E-08    0.14237E-10
    93    0.23504E+04   -0.16610E+02   -0.13012E-05   -0.16610E+02    0.59685E+00   -0.92668E-08   -0.13012E-05   -0.92668E-08    0.13831E-10
    94    0.23783E+04   -0.17204E+02   -0.12288E-05   -0.17204E+02    0.61110E+00   -0.93526E-08   -0.12288E-05   -0.93526E-08    0.13440E-10
    95    0.24064E+04   -0.17802E+02   -0.11596E-05   -0.17802E+02    0.62531E+00   -0.93400E-08   -0.11596E-05   -0.93400E-08    0.13062E-10
    96    0.24346E+04   -0.18405E+02   -0.10933E-05   -0.18405E+02    0.63949E+00   -0.92394E-08   -0.10933E-05   -0.92394E-08    0.12698E-10
    97    0.24632E+04   -0.19011E+02   -0.10300E-05   -0.19011E+02    0.65362E+00   -0.90616E-08   -0.10300E-05   -0.90616E-08    0.12348E-10
    98    0.24920E+04   -0.19619E+02   -0.96949E-06   -0.19619E+02    0.66769E+00   -0.88170E-08   -0.96949E-06   -0.88170E-08    0.12010E-10
    99    0.25208E+04   -0.20231E+02   -0.91175E-06   -0.20231E+02    0.68167E+00   -0.85163E-08   -0.91175E-06   -0.85163E-08    0.11684E-10
   100    0.25500E+04   -0.20843E+02   -0.85666E-06   -0.20843E+02    0.69555E+00   -0.81700E-08   -0.85666E-06   -0.81700E-08    0.11369E-10
   101    0.25793E+04   -0.21458E+02   -0.80415E-06   -0.21458E+02    0.70940E+00   -0.77886E-08   -0.80415E-06   -0.77886E-08    0.11067E-10
   102    0.26091E+04   -0.22074E+02   -0.75413E-06   -0.22074E+02    0.72308E+00   -0.73829E-08   -0.75413E-06   -0.73829E-08    0.10774E-10
   103    0.26388E+04   -0.22692E+02   -0.70652E-06   -0.22692E+02    0.73665E+00   -0.69633E-08   -0.70652E-06   -0.69633E-08    0.10493E-10
   104    0.26688E+04   -0.23309E+02   -0.66121E-06   -0.23309E+02    0.75013E+00   -0.65404E-08   -0.66121E-06   -0.65404E-08    0.10221E-10
   105    0.26989E+04   -0.23927E+02   -0.61814E-06   -0.23927E+02    0.76343E+00   -0.61248E-08   -0.61814E-06   -0.61248E-08    0.99579E-11
   106    0.27292E+04   -0.24545E+02   -0.57720E-06   -0.24545E+02    0.77664E+00   -0.57271E-08   -0.57720E-06   -0.57271E-08    0.97042E-11
   107    0.27595E+04   -0.25161E+02   -0.53832E-06   -0.25161E+02    0.78960E+00   -0.53578E-08   -0.53832E-06   -0.53578E-08    0.94589E-11
   108    0.27901E+04   -0.25776E+02   -0.50141E-06   -0.25776E+02    0.80239E+00   -0.50276E-08   -0.50141E-06   -0.50276E-08    0.92216E-11
   109    0.28209E+04   -0.26390E+02   -0.46638E-06   -0.26390E+02    0.81495E+00   -0.47470E-08   -0.46638E-06   -0.47470E-08    0.89917E-11
   110    0.28518E+04   -0.27000E+02   -0.43315E-06   -0.27000E+02    0.82726E+00   -0.45265E-08   -0.43315E-06   -0.45265E-08    0.87689E-11
   111    0.28828E+04   -0.27609E+02   -0.40163E-06   -0.27609E+02    0.83942E+00   -0.43742E-08   -0.40163E-06   -0.43742E-08    0.85527E-11
   112    0.29140E+04   -0.28215E+02   -0.37174E-06   -0.28215E+02    0.85133E+00   -0.42869E-08   -0.37174E-06   -0.42869E-08    0.83428E-11
   113    0.29455E+04   -0.28817E+02   -0.34343E-06   -0.28817E+02    0.86301E+00   -0.42590E-08   -0.34343E-06   -0.42590E-08    0.81392E-11
   114    0.29770E+04   -0.29415E+02   -0.31663E-06   -0.29415E+02    0.87438E+00   -0.42847E-08   -0.31663E-06   -0.42847E-08    0.79417E-11
   115    0.30087E+04   -0.30007E+02   -0.29126E-06   -0.30007E+02    0.88559E+00   -0.43585E-08   -0.29126E-06   -0.43585E-08    0.77500E-11
   116    0.30405E+04   -0.30595E+02   -0.26726E-06   -0.30595E+02    0.89641E+00   -0.44746E-08   -0.26726E-06   -0.44746E-08    0.75641E-11
   117    0.30726E+04   -0.31176E+02   -0.24457E-06   -0.31176E+02    0.90691E+00   -0.46274E-08   -0.24457E-06   -0.46274E-08    0.73837E-11
   118    0.31048E+04   -0.31752E+02   -0.22310E-06   -0.31752E+02    0.91726E+00   -0.48111E-08   -0.22310E-06   -0.48111E-08    0.72088E-11
   119    0.31370E+04   -0.32320E+02   -0.20280E-06   -0.32320E+02    0.92730E+00   -0.50200E-08   -0.20280E-06   -0.50200E-08    0.70391E-11
   120    0.31694E+04   -0.32881E+02   -0.18360E-06   -0.32881E+02    0.93687E+00   -0.52485E-08   -0.18360E-06   -0.52485E-08    0.68745E-11
   121    0.32018E+04   -0.33434E+02   -0.16543E-06   -0.33434E+02    0.94628E+00   -0.54909E-08   -0.16543E-06   -0.54909E-08    0.67149E-11
   122    0.32343E+04   -0.33978E+02   -0.14822E-06   -0.33978E+02    0.95524E+00   -0.57414E-08   -0.14822E-06   -0.57414E-08    0.65599E-11
   123    0.32669E+04   -0.34515E+02   -0.13191E-06   -0.34515E+02    0.96380E+00   -0.59945E-08   -0.13191E-06   -0.59945E-08    0.64096E-11
   124    0.32996E+04   -0.35040E+02   -0.11642E-06   -0.35040E+02    0.97206E+00   -0.62444E-08   -0.11642E-06   -0.62444E-08    0.62638E-11
   125    0.33322E+04   -0.35557E+02   -0.10169E-06   -0.35557E+02    0.97993E+00   -0.64853E-08   -0.10169E-06   -0.64853E-08    0.61222E-11
   126    0.33649E+04   -0.36063E+02   -0.87644E-07   -0.36063E+02    0.98749E+00   -0.67118E-08   -0.87644E-07   -0.67118E-08    0.59847E-11
   127    0.33977E+04   -0.36559E+02   -0.74225E-07   -0.36559E+02    0.99459E+00   -0.69179E-08   -0.74225E-07   -0.69179E-08    0.58511E-11
   128    0.34304E+04   -0.37044E+02   -0.61361E-07   -0.37044E+02    0.10014E+01   -0.70981E-08   -0.61361E-07   -0.70981E-08    0.57214E-11
   129    0.34633E+04   -0.37517E+02   -0.48983E-07   -0.37517E+02    0.10077E+01   -0.72467E-08   -0.48983E-07   -0.72467E-08    0.55952E-11
   130    0.34961E+04   -0.37977E+02   -0.37024E-07   -0.37977E+02    0.10136E+01   -0.73580E-08   -0.37024E-07   -0.73580E-08    0.54726E-11
   131    0.35289E+04   -0.38427E+02   -0.25426E-07   -0.38427E+02    0.10191E+01   -0.74277E-08   -0.25426E-07   -0.74277E-08    0.53532E-11
   132    0.35619E+04   -0.38862E+02   -0.14178E-07   -0.38862E+02    0.10242E+01   -0.74574E-08   -0.14178E-07   -0.74574E-08    0.52371E-11
   133    0.35947E+04   -0.39285E+02   -0.32772E-08   -0.39285E+02    0.10289E+01   -0.74502E-08   -0.32772E-08   -0.74502E-08    0.51241E-11
   134    0.36276E+04   -0.39692E+02    0.72775E-08   -0.39692E+02    0.10332E+01   -0.74090E-08    0.72775E-08   -0.74090E-08    0.50141E-11
   135    0.36604E+04   -0.40086E+02    0.17488E-07   -0.40086E+02    0.10371E+01   -0.73371E-08    0.17488E-07   -0.73371E-08    0.49072E-11
