#    L    TT             EE             BB             TE          
   214    0.55290E+04    0.69904E+00    0.26240E-01   -0.27730E+01
   215    0.55358E+04    0.70686E+00    0.26388E-01   -0.14254E+01
   216    0.55418E+04    0.71569E+00    0.26543E-01   -0.61459E-01
   217    0.55475E+04    0.72568E+00    0.26703E-01    0.13170E+01
   218    0.55524E+04    0.73684E+00    0.26868E-01    0.27103E+01
   219    0.55569E+04    0.74917E+00    0.27039E-01    0.41194E+01
   220    0.55607E+04    0.76280E+00    0.27215E-01    0.55402E+01
   221    0.55640E+04    0.77767E+00    0.27396E-01    0.69748E+01
   222    0.55668E+04    0.79393E+00    0.27581E-01    0.84220E+01
   223    0.55688E+04    0.81149E+00    0.27770E-01    0.98826E+01
   224    0.55705E+04    0.83035E+00    0.27963E-01    0.11353E+02
   225    0.55715E+04    0.85067E+00    0.28160E-01    0.12836E+02
   226    0.55719E+04    0.87243E+00    0.28360E-01    0.14329E+02
   227    0.55717E+04    0.89565E+00    0.28564E-01    0.15832E+02
   228    0.55709E+04    0.92031E+00    0.28770E-01    0.17345E+02
   229    0.55697E+04    0.94649E+00    0.28979E-01    0.18866E+02
   230    0.55677E+04    0.97419E+00    0.29190E-01    0.20396E+02
   231    0.55652E+04    0.10035E+01    0.29404E-01    0.21935E+02
   232    0.55621E+04    0.10343E+01    0.29619E-01    0.23481E+02
   233    0.55584E+04    0.10668E+01    0.29836E-01    0.25032E+02
   234    0.55541E+04    0.11010E+01    0.30053E-01    0.26589E+02
   235    0.55492E+04    0.11367E+01    0.30272E-01    0.28152E+02
   236    0.55436E+04    0.11742E+01    0.30492E-01    0.29720E+02
   237    0.55375E+04    0.12134E+01    0.30712E-01    0.31292E+02
   238    0.55308E+04    0.12543E+01    0.30932E-01    0.32868E+02
   239    0.55236E+04    0.12969E+01    0.31153E-01    0.34448E+02
   240    0.55157E+04    0.13413E+01    0.31372E-01    0.36029E+02
   241    0.55073E+04    0.13875E+01    0.31592E-01    0.37611E+02
   242    0.54983E+04    0.14355E+01    0.31810E-01    0.39196E+02
   243    0.54888E+04    0.14853E+01    0.32027E-01    0.40780E+02
   244    0.54786E+04    0.15369E+01    0.32243E-01    0.42366E+02
   245    0.54679E+04    0.15903E+01    0.32457E-01    0.43950E+02
   246    0.54566E+04    0.16457E+01    0.32669E-01    0.45533E+02
   247    0.54449E+04    0.17028E+01    0.32878E-01    0.47114E+02
   248    0.54325E+04    0.17620E+01    0.33085E-01    0.48693E+02
   249    0.54197E+04    0.18229E+01    0.33290E-01    0.50269E+02
   250    0.54062E+04    0.18859E+01    0.33491E-01    0.51841E+02
   251    0.53924E+04    0.19507E+01    0.33689E-01    0.53410E+02
   252    0.53778E+04    0.20175E+01    0.33883E-01    0.54973E+02
   253    0.53630E+04    0.20860E+01    0.34075E-01    0.56531E+02
   254    0.53475E+04    0.21567E+01    0.34263E-01    0.58082E+02
   255    0.53315E+04    0.22292E+01    0.34447E-01    0.59626E+02
   256    0.53151E+04    0.23039E+01    0.34629E-01    0.61165E+02
   257    0.52982E+04    0.23804E+01    0.34807E-01    0.62689E+02
   258    0.52807E+04    0.24591E+01    0.34982E-01    0.64211E+02
   259    0.52628E+04    0.25397E+01    0.35154E-01    0.65716E+02
   260    0.52445E+04    0.26224E+01    0.35323E-01    0.67219E+02
   261    0.52257E+04    0.27070E+01    0.35488E-01    0.68698E+02
   262    0.52063E+04    0.27938E+01    0.35651E-01    0.70176E+02
   263    0.51868E+04    0.28826E+01    0.35810E-01    0.71643E+02
   264    0.51666E+04    0.29735E+01    0.35966E-01    0.73094E+02
   265    0.51459E+04    0.30663E+01    0.36120E-01    0.74521E+02
   266    0.51249E+04    0.31615E+01    0.36270E-01    0.75946E+02
   267    0.51034E+04    0.32584E+01    0.36417E-01    0.77347E+02
   268    0.50814E+04    0.33577E+01    0.36561E-01    0.78738E+02
   269    0.50589E+04    0.34589E+01    0.36703E-01    0.80113E+02
   270    0.50361E+04    0.35621E+01    0.36841E-01    0.81471E+02
   271    0.50129E+04    0.36674E+01    0.36977E-01    0.82812E+02
   272    0.49894E+04    0.37749E+01    0.37109E-01    0.84129E+02
   273    0.49654E+04    0.38842E+01    0.37239E-01    0.85436E+02
   274    0.49411E+04    0.39958E+01    0.37367E-01    0.86712E+02
   275    0.49164E+04    0.41092E+01    0.37491E-01    0.87978E+02
   276    0.48915E+04    0.42246E+01    0.37613E-01    0.89213E+02
   277    0.48660E+04    0.43422E+01    0.37732E-01    0.90438E+02
   278    0.48403E+04    0.44616E+01    0.37848E-01    0.91631E+02
   279    0.48143E+04    0.45831E+01    0.37962E-01    0.92801E+02
   280    0.47879E+04    0.47064E+01    0.38073E-01    0.93961E+02
   281    0.47613E+04    0.48318E+01    0.38181E-01    0.95089E+02
   282    0.47342E+04    0.49589E+01    0.38287E-01    0.96193E+02
   283    0.47070E+04    0.50880E+01    0.38391E-01    0.97273E+02
   284    0.46794E+04    0.52190E+01    0.38492E-01    0.98328E+02
   285    0.46516E+04    0.53519E+01    0.38590E-01    0.99360E+02
   286    0.46235E+04    0.54866E+01    0.38686E-01    0.10036E+03
   287    0.45951E+04    0.56231E+01    0.38780E-01    0.10134E+03
   288    0.45664E+04    0.57614E+01    0.38872E-01    0.10229E+03
   289    0.45375E+04    0.59015E+01    0.38961E-01    0.10322E+03
   290    0.45084E+04    0.60431E+01    0.39048E-01    0.10412E+03
   291    0.44791E+04    0.61871E+01    0.39132E-01    0.10499E+03
   292    0.44493E+04    0.63323E+01    0.39215E-01    0.10583E+03
   293    0.44196E+04    0.64784E+01    0.39295E-01    0.10664E+03
   294    0.43895E+04    0.66269E+01    0.39373E-01    0.10743E+03
   295    0.43595E+04    0.67764E+01    0.39449E-01    0.10818E+03
   296    0.43291E+04    0.69282E+01    0.39523E-01    0.10891E+03
   297    0.42985E+04    0.70802E+01    0.39594E-01    0.10961E+03
   298    0.42677E+04    0.72347E+01    0.39664E-01    0.11028E+03
   299    0.42368E+04    0.73909E+01    0.39732E-01    0.11091E+03
   300    0.42056E+04    0.75472E+01    0.39798E-01    0.11151E+03
   301    0.41744E+04    0.77053E+01    0.39862E-01    0.11208E+03
   302    0.41430E+04    0.78644E+01    0.39924E-01    0.11264E+03
   303    0.41115E+04    0.80253E+01    0.39984E-01    0.11315E+03
   304    0.40799E+04    0.81879E+01    0.40043E-01    0.11362E+03
