#           k/h    P           
    0.30490E-01    0.24883E+05
    0.31106E-01    0.24413E+05
    0.31735E-01    0.23942E+05
    0.32376E-01    0.23470E+05
    0.33030E-01    0.23000E+05
    0.33697E-01    0.22533E+05
    0.34378E-01    0.22071E+05
    0.35072E-01    0.21614E+05
    0.35781E-01    0.21165E+05
    0.36504E-01    0.20722E+05
    0.37241E-01    0.20289E+05
    0.37993E-01    0.19864E+05
    0.38761E-01    0.19450E+05
    0.39544E-01    0.19046E+05
    0.40343E-01    0.18653E+05
    0.41158E-01    0.18273E+05
    0.41989E-01    0.17905E+05
    0.42838E-01    0.17550E+05
    0.43703E-01    0.17211E+05
    0.44586E-01    0.16889E+05
    0.45486E-01    0.16583E+05
    0.46405E-01    0.16295E+05
    0.47343E-01    0.16022E+05
    0.48299E-01    0.15763E+05
    0.49275E-01    0.15517E+05
    0.50270E-01    0.15284E+05
    0.51286E-01    0.15060E+05
    0.52322E-01    0.14847E+05
    0.53379E-01    0.14642E+05
    0.54457E-01    0.14445E+05
    0.55557E-01    0.14252E+05
    0.56680E-01    0.14063E+05
    0.57825E-01    0.13875E+05
    0.58993E-01    0.13686E+05
    0.60184E-01    0.13494E+05
    0.61400E-01    0.13298E+05
    0.62641E-01    0.13096E+05
    0.63906E-01    0.12885E+05
    0.65197E-01    0.12662E+05
    0.66514E-01    0.12424E+05
    0.67858E-01    0.12173E+05
    0.69229E-01    0.11914E+05
    0.70627E-01    0.11647E+05
    0.72054E-01    0.11371E+05
    0.73510E-01    0.11077E+05
    0.74994E-01    0.10761E+05
    0.76509E-01    0.10428E+05
    0.78055E-01    0.10084E+05
    0.79632E-01    0.97356E+04
    0.81241E-01    0.93847E+04
    0.82882E-01    0.90334E+04
    0.84556E-01    0.86852E+04
    0.86264E-01    0.83440E+04
    0.88007E-01    0.80136E+04
    0.89785E-01    0.76975E+04
    0.91598E-01    0.73990E+04
    0.93449E-01    0.71206E+04
    0.95337E-01    0.68648E+04
    0.97263E-01    0.66331E+04
    0.99227E-01    0.64261E+04
    0.10123E+00    0.62433E+04
    0.10328E+00    0.60838E+04
    0.10536E+00    0.59449E+04
    0.10749E+00    0.58238E+04
    0.10966E+00    0.57168E+04
    0.11188E+00    0.56197E+04
    0.11414E+00    0.55280E+04
    0.11644E+00    0.54369E+04
    0.11880E+00    0.53418E+04
    0.12120E+00    0.52382E+04
    0.12365E+00    0.51226E+04
    0.12614E+00    0.49926E+04
    0.12869E+00    0.48471E+04
    0.13129E+00    0.46868E+04
    0.13394E+00    0.45135E+04
    0.13665E+00    0.43304E+04
    0.13941E+00    0.41411E+04
    0.14223E+00    0.39503E+04
    0.14510E+00    0.37628E+04
    0.14803E+00    0.35842E+04
    0.15102E+00    0.34191E+04
    0.15407E+00    0.32719E+04
    0.15718E+00    0.31444E+04
    0.16036E+00    0.30369E+04
    0.16360E+00    0.29473E+04
    0.16690E+00    0.28722E+04
    0.17028E+00    0.28077E+04
    0.17371E+00    0.27493E+04
    0.17722E+00    0.26923E+04
    0.18080E+00    0.26319E+04
    0.18446E+00    0.25635E+04
    0.18818E+00    0.24844E+04
    0.19198E+00    0.23943E+04
    0.19586E+00    0.22953E+04
    0.19982E+00    0.21913E+04
    0.20386E+00    0.20868E+04
    0.20797E+00    0.19860E+04
    0.21218E+00    0.18928E+04
    0.21646E+00    0.18105E+04
    0.22083E+00    0.17403E+04
    0.22530E+00    0.16818E+04
    0.22985E+00    0.16324E+04
    0.23449E+00    0.15885E+04
    0.23923E+00    0.15460E+04
    0.24406E+00    0.15012E+04
    0.24899E+00    0.14515E+04
    0.25402E+00    0.13963E+04
    0.25915E+00    0.13369E+04
    0.26439E+00    0.12759E+04
