#    L    TT             EE             BB             TE             PP             TP             EP          
    89    0.22402E+04    0.53987E+00    0.00000E+00   -0.14284E+02    0.12447E-06   -0.10778E-03   -0.71290E-06
    90    0.22674E+04    0.55410E+00    0.00000E+00   -0.14857E+02    0.12360E-06   -0.10341E-03   -0.76828E-06
    91    0.22946E+04    0.56835E+00    0.00000E+00   -0.15437E+02    0.12273E-06   -0.99136E-04   -0.81223E-06
    92    0.23222E+04    0.58261E+00    0.00000E+00   -0.16021E+02    0.12187E-06   -0.94943E-04   -0.84407E-06
    93    0.23501E+04    0.59688E+00    0.00000E+00   -0.16611E+02    0.12101E-06   -0.90835E-04   -0.86482E-06
    94    0.23780E+04    0.61112E+00    0.00000E+00   -0.17205E+02    0.12016E-06   -0.86813E-04   -0.87550E-06
    95    0.24061E+04    0.62534E+00    0.00000E+00   -0.17804E+02    0.11932E-06   -0.82880E-04   -0.87713E-06
    96    0.24343E+04    0.63952E+00    0.00000E+00   -0.18406E+02    0.11848E-06   -0.79037E-04   -0.87074E-06
    97    0.24629E+04    0.65365E+00    0.00000E+00   -0.19013E+02    0.11765E-06   -0.75285E-04   -0.85735E-06
    98    0.24917E+04    0.66772E+00    0.00000E+00   -0.19620E+02    0.11683E-06   -0.71626E-04   -0.83797E-06
    99    0.25206E+04    0.68169E+00    0.00000E+00   -0.20232E+02    0.11601E-06   -0.68061E-04   -0.81363E-06
   100    0.25498E+04    0.69558E+00    0.00000E+00   -0.20844E+02    0.11520E-06   -0.64591E-04   -0.78535E-06
   101    0.25791E+04    0.70943E+00    0.00000E+00   -0.21459E+02    0.11440E-06   -0.61219E-04   -0.75413E-06
   102    0.26089E+04    0.72311E+00    0.00000E+00   -0.22075E+02    0.11360E-06   -0.57946E-04   -0.72101E-06
   103    0.26386E+04    0.73668E+00    0.00000E+00   -0.22694E+02    0.11281E-06   -0.54773E-04   -0.68699E-06
   104    0.26686E+04    0.75016E+00    0.00000E+00   -0.23311E+02    0.11202E-06   -0.51701E-04   -0.65310E-06
   105    0.26987E+04    0.76346E+00    0.00000E+00   -0.23928E+02    0.11124E-06   -0.48732E-04   -0.62034E-06
   106    0.27290E+04    0.77666E+00    0.00000E+00   -0.24546E+02    0.11047E-06   -0.45869E-04   -0.58973E-06
   107    0.27593E+04    0.78963E+00    0.00000E+00   -0.25162E+02    0.10970E-06   -0.43111E-04   -0.56229E-06
   108    0.27900E+04    0.80242E+00    0.00000E+00   -0.25778E+02    0.10894E-06   -0.40461E-04   -0.53903E-06
   109    0.28208E+04    0.81497E+00    0.00000E+00   -0.26391E+02    0.10819E-06   -0.37920E-04   -0.52096E-06
   110    0.28517E+04    0.82729E+00    0.00000E+00   -0.27002E+02    0.10744E-06   -0.35490E-04   -0.50910E-06
   111    0.28827E+04    0.83944E+00    0.00000E+00   -0.27610E+02    0.10670E-06   -0.33171E-04   -0.50418E-06
   112    0.29139E+04    0.85136E+00    0.00000E+00   -0.28216E+02    0.10597E-06   -0.30959E-04   -0.50587E-06
   113    0.29454E+04    0.86304E+00    0.00000E+00   -0.28819E+02    0.10524E-06   -0.28850E-04   -0.51355E-06
   114    0.29769E+04    0.87441E+00    0.00000E+00   -0.29416E+02    0.10452E-06   -0.26838E-04   -0.52660E-06
   115    0.30087E+04    0.88561E+00    0.00000E+00   -0.30009E+02    0.10380E-06   -0.24918E-04   -0.54441E-06
   116    0.30404E+04    0.89643E+00    0.00000E+00   -0.30596E+02    0.10309E-06   -0.23086E-04   -0.56636E-06
   117    0.30725E+04    0.90694E+00    0.00000E+00   -0.31177E+02    0.10239E-06   -0.21337E-04   -0.59184E-06
   118    0.31047E+04    0.91728E+00    0.00000E+00   -0.31753E+02    0.10169E-06   -0.19666E-04   -0.62024E-06
   119    0.31370E+04    0.92732E+00    0.00000E+00   -0.32321E+02    0.10100E-06   -0.18068E-04   -0.65094E-06
   120    0.31694E+04    0.93689E+00    0.00000E+00   -0.32882E+02    0.10031E-06   -0.16538E-04   -0.68332E-06
   121    0.32018E+04    0.94631E+00    0.00000E+00   -0.33435E+02    0.99633E-07   -0.15071E-04   -0.71678E-06
   122    0.32343E+04    0.95526E+00    0.00000E+00   -0.33980E+02    0.98959E-07   -0.13662E-04   -0.75071E-06
   123    0.32669E+04    0.96382E+00    0.00000E+00   -0.34516E+02    0.98291E-07   -0.12307E-04   -0.78449E-06
   124    0.32995E+04    0.97208E+00    0.00000E+00   -0.35042E+02    0.97630E-07   -0.11000E-04   -0.81750E-06
   125    0.33322E+04    0.97995E+00    0.00000E+00   -0.35558E+02    0.96974E-07   -0.97376E-05   -0.84914E-06
   126    0.33649E+04    0.98751E+00    0.00000E+00   -0.36064E+02    0.96324E-07   -0.85136E-05   -0.87880E-06
   127    0.33977E+04    0.99460E+00    0.00000E+00   -0.36560E+02    0.95679E-07   -0.73236E-05   -0.90585E-06
   128    0.34304E+04    0.10014E+01    0.00000E+00   -0.37045E+02    0.95041E-07   -0.61627E-05   -0.92971E-06
   129    0.34633E+04    0.10077E+01    0.00000E+00   -0.37518E+02    0.94408E-07   -0.50261E-05   -0.94974E-06
   130    0.34961E+04    0.10136E+01    0.00000E+00   -0.37979E+02    0.93780E-07   -0.39089E-05   -0.96534E-06
   131    0.35289E+04    0.10191E+01    0.00000E+00   -0.38428E+02    0.93159E-07   -0.28072E-05   -0.97606E-06
   132    0.35619E+04    0.10242E+01    0.00000E+00   -0.38863E+02    0.92542E-07   -0.17209E-05   -0.98210E-06
