#    L    TT             EE             TE             PP             TP          
   120    0.31694E+04    0.93687E+00   -0.32881E+02    0.45821E+07   -0.37713E+03
   121    0.32018E+04    0.94628E+00   -0.33434E+02    0.45511E+07   -0.34299E+03
   122    0.32343E+04    0.95524E+00   -0.33978E+02    0.45203E+07   -0.31013E+03
   123    0.32669E+04    0.96380E+00   -0.34515E+02    0.44898E+07   -0.27844E+03
   124    0.32996E+04    0.97206E+00   -0.35040E+02    0.44596E+07   -0.24784E+03
   125    0.33322E+04    0.97993E+00   -0.35557E+02    0.44296E+07   -0.21822E+03
   126    0.33649E+04    0.98749E+00   -0.36063E+02    0.43999E+07   -0.18951E+03
   127    0.33977E+04    0.99459E+00   -0.36559E+02    0.43705E+07   -0.16160E+03
   128    0.34304E+04    0.10014E+01   -0.37044E+02    0.43413E+07   -0.13441E+03
   129    0.34633E+04    0.10077E+01   -0.37517E+02    0.43124E+07   -0.10784E+03
   130    0.34961E+04    0.10136E+01   -0.37977E+02    0.42837E+07   -0.81794E+02
   131    0.35289E+04    0.10191E+01   -0.38427E+02    0.42553E+07   -0.56204E+02
   132    0.35619E+04    0.10242E+01   -0.38862E+02    0.42272E+07   -0.31061E+02
   133    0.35947E+04    0.10289E+01   -0.39285E+02    0.41993E+07   -0.63763E+01
   134    0.36276E+04    0.10332E+01   -0.39692E+02    0.41716E+07    0.17840E+02
   135    0.36604E+04    0.10371E+01   -0.40086E+02    0.41442E+07    0.41577E+02
   136    0.36932E+04    0.10405E+01   -0.40463E+02    0.41171E+07    0.64824E+02
   137    0.37260E+04    0.10434E+01   -0.40825E+02    0.40902E+07    0.87570E+02
   138    0.37587E+04    0.10459E+01   -0.41171E+02    0.40635E+07    0.10980E+03
   139    0.37912E+04    0.10481E+01   -0.41501E+02    0.40371E+07    0.13152E+03
   140    0.38238E+04    0.10497E+01   -0.41814E+02    0.40109E+07    0.15270E+03
   141    0.38562E+04    0.10509E+01   -0.42109E+02    0.39849E+07    0.17333E+03
   142    0.38886E+04    0.10516E+01   -0.42387E+02    0.39592E+07    0.19341E+03
