#    L    TT             EE             BB             TE          
   202    0.53978E+04    0.65928E+00    0.13026E-01   -0.17704E+02
   203    0.54112E+04    0.65681E+00    0.13173E-01   -0.16574E+02
   204    0.54241E+04    0.65501E+00    0.13320E-01   -0.15425E+02
   205    0.54364E+04    0.65393E+00    0.13468E-01   -0.14254E+02
   206    0.54482E+04    0.65360E+00    0.13617E-01   -0.13064E+02
   207    0.54595E+04    0.65405E+00    0.13767E-01   -0.11854E+02
   208    0.54701E+04    0.65532E+00    0.13917E-01   -0.10624E+02
   209    0.54802E+04    0.65744E+00    0.14068E-01   -0.93759E+01
   210    0.54898E+04    0.66046E+00    0.14221E-01   -0.81091E+01
   211    0.54988E+04    0.66441E+00    0.14373E-01   -0.68240E+01
   212    0.55071E+04    0.66931E+00    0.14527E-01   -0.55214E+01
   213    0.55149E+04    0.67520E+00    0.14681E-01   -0.42011E+01
   214    0.55222E+04    0.68209E+00    0.14836E-01   -0.28644E+01
   215    0.55289E+04    0.69016E+00    0.14992E-01   -0.15117E+01
   216    0.55349E+04    0.69923E+00    0.15148E-01   -0.14250E+00
   217    0.55405E+04    0.70944E+00    0.15305E-01    0.12413E+01
   218    0.55454E+04    0.72081E+00    0.15463E-01    0.26401E+01
   219    0.55499E+04    0.73332E+00    0.15621E-01    0.40548E+01
   220    0.55537E+04    0.74713E+00    0.15780E-01    0.54812E+01
   221    0.55570E+04    0.76216E+00    0.15940E-01    0.69217E+01
   222    0.55597E+04    0.77855E+00    0.16100E-01    0.83747E+01
   223    0.55618E+04    0.79624E+00    0.16261E-01    0.98412E+01
   224    0.55634E+04    0.81521E+00    0.16422E-01    0.11318E+02
   225    0.55644E+04    0.83563E+00    0.16584E-01    0.12807E+02
   226    0.55648E+04    0.85748E+00    0.16747E-01    0.14305E+02
   227    0.55646E+04    0.88077E+00    0.16910E-01    0.15815E+02
   228    0.55639E+04    0.90549E+00    0.17073E-01    0.17334E+02
   229    0.55626E+04    0.93172E+00    0.17237E-01    0.18861E+02
   230    0.55607E+04    0.95945E+00    0.17402E-01    0.20397E+02
   231    0.55581E+04    0.98876E+00    0.17567E-01    0.21942E+02
   232    0.55551E+04    0.10196E+01    0.17733E-01    0.23493E+02
   233    0.55514E+04    0.10521E+01    0.17898E-01    0.25050E+02
   234    0.55471E+04    0.10862E+01    0.18065E-01    0.26614E+02
   235    0.55422E+04    0.11220E+01    0.18231E-01    0.28182E+02
   236    0.55367E+04    0.11594E+01    0.18398E-01    0.29756E+02
   237    0.55306E+04    0.11985E+01    0.18566E-01    0.31334E+02
