#    L    TT             EE             TE             PP             TP          
   177    0.49155E+04    0.84190E+00   -0.38691E+02    0.32220E+07    0.40838E+03
   178    0.49400E+04    0.83184E+00   -0.38155E+02    0.32034E+07    0.41156E+03
   179    0.49641E+04    0.82160E+00   -0.37594E+02    0.31849E+07    0.41465E+03
   180    0.49880E+04    0.81139E+00   -0.37008E+02    0.31666E+07    0.41764E+03
   181    0.50113E+04    0.80121E+00   -0.36398E+02    0.31484E+07    0.42054E+03
   182    0.50343E+04    0.79112E+00   -0.35762E+02    0.31304E+07    0.42334E+03
   183    0.50569E+04    0.78105E+00   -0.35101E+02    0.31125E+07    0.42605E+03
   184    0.50791E+04    0.77106E+00   -0.34414E+02    0.30948E+07    0.42866E+03
   185    0.51009E+04    0.76129E+00   -0.33704E+02    0.30773E+07    0.43118E+03
   186    0.51220E+04    0.75159E+00   -0.32968E+02    0.30599E+07    0.43359E+03
   187    0.51430E+04    0.74211E+00   -0.32207E+02    0.30426E+07    0.43592E+03
   188    0.51635E+04    0.73282E+00   -0.31422E+02    0.30255E+07    0.43814E+03
   189    0.51835E+04    0.72374E+00   -0.30612E+02    0.30086E+07    0.44027E+03
   190    0.52034E+04    0.71494E+00   -0.29779E+02    0.29918E+07    0.44230E+03
   191    0.52225E+04    0.70641E+00   -0.28920E+02    0.29751E+07    0.44423E+03
   192    0.52412E+04    0.69818E+00   -0.28037E+02    0.29586E+07    0.44607E+03
   193    0.52595E+04    0.69029E+00   -0.27131E+02    0.29422E+07    0.44781E+03
   194    0.52774E+04    0.68275E+00   -0.26201E+02    0.29260E+07    0.44945E+03
   195    0.52948E+04    0.67561E+00   -0.25247E+02    0.29099E+07    0.45099E+03
   196    0.53117E+04    0.66889E+00   -0.24270E+02    0.28939E+07    0.45244E+03
   197    0.53281E+04    0.66262E+00   -0.23271E+02    0.28781E+07    0.45379E+03
   198    0.53442E+04    0.65683E+00   -0.22249E+02    0.28624E+07    0.45504E+03
   199    0.53598E+04    0.65155E+00   -0.21205E+02    0.28468E+07    0.45619E+03
   200    0.53749E+04    0.64679E+00   -0.20139E+02    0.28313E+07    0.45724E+03
   201    0.53895E+04    0.64261E+00   -0.19050E+02    0.28160E+07    0.45820E+03
   202    0.54036E+04    0.63903E+00   -0.17940E+02    0.28008E+07    0.45905E+03
   203    0.54172E+04    0.63609E+00   -0.16808E+02    0.27858E+07    0.45982E+03
   204    0.54302E+04    0.63382E+00   -0.15658E+02    0.27708E+07    0.46048E+03
   205    0.54428E+04    0.63226E+00   -0.14485E+02    0.27560E+07    0.46106E+03
   206    0.54547E+04    0.63145E+00   -0.13292E+02    0.27413E+07    0.46154E+03
   207    0.54662E+04    0.63141E+00   -0.12080E+02    0.27267E+07    0.46193E+03
   208    0.54770E+04    0.63219E+00   -0.10848E+02    0.27123E+07    0.46223E+03
   209    0.54873E+04    0.63381E+00   -0.95961E+01    0.26979E+07    0.46245E+03
   210    0.54970E+04    0.63632E+00   -0.83260E+01    0.26837E+07    0.46258E+03
   211    0.55062E+04    0.63976E+00   -0.70375E+01    0.26696E+07    0.46262E+03
   212    0.55146E+04    0.64415E+00   -0.57312E+01    0.26556E+07    0.46259E+03
   213    0.55227E+04    0.64954E+00   -0.44071E+01    0.26417E+07    0.46247E+03
   214    0.55300E+04    0.65591E+00   -0.30662E+01    0.26279E+07    0.46227E+03
   215    0.55369E+04    0.66346E+00   -0.17091E+01    0.26143E+07    0.46199E+03
   216    0.55431E+04    0.67200E+00   -0.33535E+00    0.26007E+07    0.46163E+03
   217    0.55489E+04    0.68169E+00    0.10533E+01    0.25873E+07    0.46119E+03
   218    0.55540E+04    0.69253E+00    0.24572E+01    0.25740E+07    0.46069E+03
   219    0.55585E+04    0.70452E+00    0.38773E+01    0.25608E+07    0.46010E+03
   220    0.55626E+04    0.71779E+00    0.53093E+01    0.25477E+07    0.45945E+03
   221    0.55660E+04    0.73229E+00    0.67555E+01    0.25347E+07    0.45872E+03
   222    0.55689E+04    0.74815E+00    0.82146E+01    0.25218E+07    0.45793E+03
   223    0.55711E+04    0.76531E+00    0.96875E+01    0.25090E+07    0.45707E+03
   224    0.55729E+04    0.78376E+00    0.11170E+02    0.24963E+07    0.45614E+03
   225    0.55740E+04    0.80364E+00    0.12667E+02    0.24837E+07    0.45514E+03
   226    0.55746E+04    0.82496E+00    0.14172E+02    0.24712E+07    0.45408E+03
   227    0.55745E+04    0.84772E+00    0.15689E+02    0.24588E+07    0.45296E+03
   228    0.55739E+04    0.87191E+00    0.17216E+02    0.24465E+07    0.45178E+03
   229    0.55728E+04    0.89761E+00    0.18751E+02    0.24343E+07    0.45054E+03
   230    0.55710E+04    0.92483E+00    0.20295E+02    0.24222E+07    0.44924E+03
   231    0.55686E+04    0.95362E+00    0.21848E+02    0.24102E+07    0.44788E+03
   232    0.55657E+04    0.98392E+00    0.23408E+02    0.23983E+07    0.44647E+03
   233    0.55622E+04    0.10159E+01    0.24974E+02    0.23865E+07    0.44500E+03
   234    0.55580E+04    0.10496E+01    0.26547E+02    0.23748E+07    0.44349E+03
   235    0.55533E+04    0.10848E+01    0.28125E+02    0.23632E+07    0.44192E+03
   236    0.55479E+04    0.11217E+01    0.29708E+02    0.23516E+07    0.44030E+03
   237    0.55419E+04    0.11604E+01    0.31296E+02    0.23402E+07    0.43863E+03
   238    0.55354E+04    0.12008E+01    0.32887E+02    0.23288E+07    0.43691E+03
   239    0.55283E+04    0.12429E+01    0.34482E+02    0.23175E+07    0.43515E+03
   240    0.55206E+04    0.12867E+01    0.36079E+02    0.23064E+07    0.43335E+03
   241    0.55123E+04    0.13324E+01    0.37678E+02    0.22953E+07    0.43150E+03
   242    0.55035E+04    0.13798E+01    0.39278E+02    0.22842E+07    0.42961E+03
