#    L    TT             EE             BB             TE          
   164    0.50617E+01    0.52829E-01    0.23296E-01   -0.13961E+00
   165    0.48824E+01    0.51805E-01    0.22783E-01   -0.11964E+00
   166    0.47239E+01    0.50784E-01    0.22280E-01   -0.10043E+00
   167    0.45854E+01    0.49768E-01    0.21789E-01   -0.81982E-01
   168    0.44658E+01    0.48756E-01    0.21309E-01   -0.64302E-01
   169    0.43644E+01    0.47750E-01    0.20840E-01   -0.47387E-01
   170    0.42802E+01    0.46750E-01    0.20383E-01   -0.31239E-01
   171    0.42123E+01    0.45756E-01    0.19938E-01   -0.15860E-01
   172    0.41597E+01    0.44771E-01    0.19504E-01   -0.12513E-02
   173    0.41215E+01    0.43793E-01    0.19084E-01    0.12586E-01
   174    0.40969E+01    0.42825E-01    0.18675E-01    0.25651E-01
   175    0.40848E+01    0.41866E-01    0.18280E-01    0.37941E-01
   176    0.40845E+01    0.40917E-01    0.17897E-01    0.49459E-01
   177    0.40953E+01    0.39979E-01    0.17527E-01    0.60220E-01
   178    0.41165E+01    0.39053E-01    0.17170E-01    0.70241E-01
   179    0.41475E+01    0.38138E-01    0.16826E-01    0.79543E-01
   180    0.41877E+01    0.37235E-01    0.16493E-01    0.88143E-01
   181    0.42365E+01    0.36346E-01    0.16173E-01    0.96059E-01
   182    0.42932E+01    0.35469E-01    0.15866E-01    0.10331E+00
   183    0.43572E+01    0.34606E-01    0.15570E-01    0.10991E+00
   184    0.44279E+01    0.33758E-01    0.15285E-01    0.11589E+00
   185    0.45047E+01    0.32924E-01    0.15013E-01    0.12126E+00
   186    0.45870E+01    0.32105E-01    0.14752E-01    0.12603E+00
   187    0.46740E+01    0.31302E-01    0.14502E-01    0.13023E+00
   188    0.47653E+01    0.30515E-01    0.14263E-01    0.13388E+00
   189    0.48601E+01    0.29745E-01    0.14035E-01    0.13700E+00
   190    0.49579E+01    0.28992E-01    0.13818E-01    0.13959E+00
   191    0.50580E+01    0.28256E-01    0.13612E-01    0.14169E+00
   192    0.51599E+01    0.27539E-01    0.13416E-01    0.14330E+00
   193    0.52628E+01    0.26840E-01    0.13231E-01    0.14445E+00
   194    0.53661E+01    0.26161E-01    0.13055E-01    0.14516E+00
   195    0.54693E+01    0.25501E-01    0.12890E-01    0.14545E+00
   196    0.55717E+01    0.24861E-01    0.12735E-01    0.14532E+00
   197    0.56727E+01    0.24242E-01    0.12589E-01    0.14481E+00
   198    0.57716E+01    0.23643E-01    0.12453E-01    0.14393E+00
   199    0.58679E+01    0.23067E-01    0.12326E-01    0.14269E+00
   200    0.59609E+01    0.22512E-01    0.12209E-01    0.14113E+00
   201    0.60501E+01    0.21980E-01    0.12100E-01    0.13925E+00
   202    0.61354E+01    0.21470E-01    0.12001E-01    0.13706E+00
   203    0.62168E+01    0.20982E-01    0.11910E-01    0.13458E+00
   204    0.62944E+01    0.20515E-01    0.11827E-01    0.13183E+00
   205    0.63682E+01    0.20069E-01    0.11752E-01    0.12880E+00
   206    0.64382E+01    0.19645E-01    0.11686E-01    0.12551E+00
   207    0.65045E+01    0.19240E-01    0.11627E-01    0.12199E+00
   208    0.65670E+01    0.18856E-01    0.11575E-01    0.11822E+00
   209    0.66259E+01    0.18491E-01    0.11530E-01    0.11423E+00
   210    0.66811E+01    0.18145E-01    0.11492E-01    0.11004E+00
   211    0.67326E+01    0.17819E-01    0.11461E-01    0.10564E+00
   212    0.67805E+01    0.17511E-01    0.11436E-01    0.10105E+00
   213    0.68248E+01    0.17221E-01    0.11417E-01    0.96286E-01
   214    0.68655E+01    0.16950E-01    0.11404E-01    0.91356E-01
   215    0.69027E+01    0.16695E-01    0.11397E-01    0.86272E-01
   216    0.69364E+01    0.16458E-01    0.11395E-01    0.81045E-01
   217    0.69665E+01    0.16238E-01    0.11398E-01    0.75687E-01
   218    0.69933E+01    0.16034E-01    0.11406E-01    0.70210E-01
   219    0.70165E+01    0.15847E-01    0.11418E-01    0.64624E-01
   220    0.70364E+01    0.15675E-01    0.11435E-01    0.58941E-01
   221    0.70529E+01    0.15518E-01    0.11456E-01    0.53173E-01
   222    0.70660E+01    0.15376E-01    0.11481E-01    0.47331E-01
   223    0.70758E+01    0.15250E-01    0.11509E-01    0.41427E-01
   224    0.70822E+01    0.15137E-01    0.11541E-01    0.35472E-01
   225    0.70854E+01    0.15038E-01    0.11576E-01    0.29477E-01
   226    0.70854E+01    0.14953E-01    0.11614E-01    0.23455E-01
   227    0.70821E+01    0.14881E-01    0.11654E-01    0.17415E-01
   228    0.70756E+01    0.14822E-01    0.11697E-01    0.11371E-01
   229    0.70659E+01    0.14776E-01    0.11742E-01    0.53333E-02
   230    0.70531E+01    0.14742E-01    0.11788E-01   -0.68671E-03
