#    L    TT             EE             BB             TE             PP             TP             EP          
    75    0.19343E+04    0.37442E+00    0.00000E+00   -0.79638E+01    0.11231E-06    0.53646E-03   -0.77085E-06
    76    0.19595E+04    0.38778E+00    0.00000E+00   -0.84535E+01    0.11161E-06    0.52847E-03   -0.75785E-06
    77    0.19850E+04    0.40130E+00    0.00000E+00   -0.89536E+01    0.11091E-06    0.52065E-03   -0.71766E-06
    78    0.20108E+04    0.41502E+00    0.00000E+00   -0.94656E+01    0.11021E-06    0.51295E-03   -0.66238E-06
    79    0.20369E+04    0.42887E+00    0.00000E+00   -0.99856E+01    0.10951E-06    0.50533E-03   -0.60409E-06
    80    0.20632E+04    0.44286E+00    0.00000E+00   -0.10515E+02    0.10881E-06    0.49776E-03   -0.55486E-06
    81    0.20896E+04    0.45693E+00    0.00000E+00   -0.11055E+02    0.10812E-06    0.49021E-03   -0.52451E-06
    82    0.21164E+04    0.47112E+00    0.00000E+00   -0.11603E+02    0.10742E-06    0.48271E-03   -0.51394E-06
    83    0.21433E+04    0.48540E+00    0.00000E+00   -0.12160E+02    0.10673E-06    0.47530E-03   -0.52179E-06
    84    0.21705E+04    0.49976E+00    0.00000E+00   -0.12723E+02    0.10604E-06    0.46803E-03   -0.54673E-06
    85    0.21978E+04    0.51418E+00    0.00000E+00   -0.13294E+02    0.10535E-06    0.46093E-03   -0.58743E-06
    86    0.22253E+04    0.52866E+00    0.00000E+00   -0.13871E+02    0.10467E-06    0.45405E-03   -0.64183E-06
    87    0.22532E+04    0.54319E+00    0.00000E+00   -0.14454E+02    0.10399E-06    0.44738E-03   -0.70508E-06
    88    0.22811E+04    0.55777E+00    0.00000E+00   -0.15043E+02    0.10331E-06    0.44091E-03   -0.77162E-06
    89    0.23094E+04    0.57239E+00    0.00000E+00   -0.15639E+02    0.10263E-06    0.43462E-03   -0.83589E-06
    90    0.23378E+04    0.58702E+00    0.00000E+00   -0.16240E+02    0.10196E-06    0.42850E-03   -0.89234E-06
    91    0.23664E+04    0.60164E+00    0.00000E+00   -0.16847E+02    0.10129E-06    0.42254E-03   -0.93651E-06
    92    0.23953E+04    0.61625E+00    0.00000E+00   -0.17458E+02    0.10063E-06    0.41672E-03   -0.96831E-06
    93    0.24245E+04    0.63083E+00    0.00000E+00   -0.18073E+02    0.99964E-07    0.41106E-03   -0.98873E-06
    94    0.24537E+04    0.64535E+00    0.00000E+00   -0.18692E+02    0.99305E-07    0.40554E-03   -0.99876E-06
    95    0.24832E+04    0.65981E+00    0.00000E+00   -0.19315E+02    0.98650E-07    0.40015E-03   -0.99940E-06
    96    0.25127E+04    0.67419E+00    0.00000E+00   -0.19942E+02    0.97999E-07    0.39489E-03   -0.99163E-06
    97    0.25426E+04    0.68849E+00    0.00000E+00   -0.20571E+02    0.97352E-07    0.38976E-03   -0.97646E-06
    98    0.25728E+04    0.70269E+00    0.00000E+00   -0.21201E+02    0.96708E-07    0.38475E-03   -0.95486E-06
    99    0.26030E+04    0.71676E+00    0.00000E+00   -0.21834E+02    0.96068E-07    0.37985E-03   -0.92783E-06
   100    0.26335E+04    0.73071E+00    0.00000E+00   -0.22466E+02    0.95432E-07    0.37507E-03   -0.89636E-06
   101    0.26642E+04    0.74458E+00    0.00000E+00   -0.23100E+02    0.94800E-07    0.37039E-03   -0.86144E-06
   102    0.26953E+04    0.75823E+00    0.00000E+00   -0.23734E+02    0.94171E-07    0.36580E-03   -0.82404E-06
   103    0.27264E+04    0.77174E+00    0.00000E+00   -0.24369E+02    0.93547E-07    0.36132E-03   -0.78517E-06
   104    0.27577E+04    0.78511E+00    0.00000E+00   -0.25002E+02    0.92926E-07    0.35692E-03   -0.74580E-06
   105    0.27892E+04    0.79827E+00    0.00000E+00   -0.25634E+02    0.92310E-07    0.35261E-03   -0.70692E-06
   106    0.28208E+04    0.81128E+00    0.00000E+00   -0.26264E+02    0.91698E-07    0.34837E-03   -0.66951E-06
   107    0.28524E+04    0.82401E+00    0.00000E+00   -0.26891E+02    0.91090E-07    0.34421E-03   -0.63457E-06
   108    0.28844E+04    0.83652E+00    0.00000E+00   -0.27517E+02    0.90487E-07    0.34012E-03   -0.60307E-06
   109    0.29165E+04    0.84874E+00    0.00000E+00   -0.28139E+02    0.89887E-07    0.33609E-03   -0.57600E-06
   110    0.29487E+04    0.86068E+00    0.00000E+00   -0.28756E+02    0.89292E-07    0.33213E-03   -0.55434E-06
   111    0.29810E+04    0.87241E+00    0.00000E+00   -0.29369E+02    0.88702E-07    0.32821E-03   -0.53883E-06
   112    0.30135E+04    0.88386E+00    0.00000E+00   -0.29978E+02    0.88116E-07    0.32435E-03   -0.52923E-06
   113    0.30462E+04    0.89502E+00    0.00000E+00   -0.30581E+02    0.87534E-07    0.32054E-03   -0.52509E-06
   114    0.30789E+04    0.90582E+00    0.00000E+00   -0.31178E+02    0.86957E-07    0.31679E-03   -0.52591E-06
   115    0.31119E+04    0.91642E+00    0.00000E+00   -0.31769E+02    0.86384E-07    0.31309E-03   -0.53122E-06
   116    0.31449E+04    0.92658E+00    0.00000E+00   -0.32352E+02    0.85815E-07    0.30945E-03   -0.54055E-06
   117    0.31782E+04    0.93638E+00    0.00000E+00   -0.32927E+02    0.85251E-07    0.30586E-03   -0.55342E-06
   118    0.32116E+04    0.94598E+00    0.00000E+00   -0.33494E+02    0.84691E-07    0.30232E-03   -0.56936E-06
   119    0.32450E+04    0.95521E+00    0.00000E+00   -0.34052E+02    0.84136E-07    0.29884E-03   -0.58789E-06
   120    0.32786E+04    0.96395E+00    0.00000E+00   -0.34601E+02    0.83585E-07    0.29541E-03   -0.60855E-06
   121    0.33121E+04    0.97247E+00    0.00000E+00   -0.35140E+02    0.83038E-07    0.29204E-03   -0.63085E-06
   122    0.33457E+04    0.98049E+00    0.00000E+00   -0.35668E+02    0.82495E-07    0.28873E-03   -0.65432E-06
   123    0.33794E+04    0.98808E+00    0.00000E+00   -0.36186E+02    0.81957E-07    0.28546E-03   -0.67850E-06
   124    0.34131E+04    0.99532E+00    0.00000E+00   -0.36691E+02    0.81423E-07    0.28226E-03   -0.70291E-06
   125    0.34468E+04    0.10021E+01    0.00000E+00   -0.37185E+02    0.80894E-07    0.27910E-03   -0.72706E-06
   126    0.34805E+04    0.10086E+01    0.00000E+00   -0.37666E+02    0.80369E-07    0.27601E-03   -0.75050E-06
   127    0.35142E+04    0.10145E+01    0.00000E+00   -0.38135E+02    0.79848E-07    0.27297E-03   -0.77276E-06
   128    0.35480E+04    0.10201E+01    0.00000E+00   -0.38591E+02    0.79331E-07    0.26998E-03   -0.79334E-06
   129    0.35817E+04    0.10252E+01    0.00000E+00   -0.39032E+02    0.78819E-07    0.26705E-03   -0.81180E-06
   130    0.36155E+04    0.10298E+01    0.00000E+00   -0.39458E+02    0.78311E-07    0.26418E-03   -0.82764E-06
   131    0.36492E+04    0.10340E+01    0.00000E+00   -0.39871E+02    0.77807E-07    0.26136E-03   -0.84052E-06
   132    0.36829E+04    0.10378E+01    0.00000E+00   -0.40267E+02    0.77307E-07    0.25860E-03   -0.85052E-06
   133    0.37166E+04    0.10411E+01    0.00000E+00   -0.40649E+02    0.76812E-07    0.25589E-03   -0.85783E-06
   134    0.37503E+04    0.10440E+01    0.00000E+00   -0.41013E+02    0.76321E-07    0.25323E-03   -0.86265E-06
   135    0.37839E+04    0.10463E+01    0.00000E+00   -0.41361E+02    0.75834E-07    0.25062E-03   -0.86518E-06
   136    0.38173E+04    0.10482E+01    0.00000E+00   -0.41689E+02    0.75351E-07    0.24805E-03   -0.86562E-06
   137    0.38508E+04    0.10497E+01    0.00000E+00   -0.42001E+02    0.74872E-07    0.24554E-03   -0.86415E-06
   138    0.38842E+04    0.10506E+01    0.00000E+00   -0.42294E+02    0.74398E-07    0.24306E-03   -0.86099E-06
   139    0.39173E+04    0.10512E+01    0.00000E+00   -0.42568E+02    0.73927E-07    0.24063E-03   -0.85631E-06
   140    0.39505E+04    0.10512E+01    0.00000E+00   -0.42824E+02    0.73460E-07    0.23824E-03   -0.85033E-06
   141    0.39834E+04    0.10508E+01    0.00000E+00   -0.43059E+02    0.72998E-07    0.23588E-03   -0.84323E-06
   142    0.40164E+04    0.10499E+01    0.00000E+00   -0.43274E+02    0.72539E-07    0.23356E-03   -0.83521E-06
   143    0.40493E+04    0.10485E+01    0.00000E+00   -0.43470E+02    0.72084E-07    0.23128E-03   -0.82647E-06
   144    0.40819E+04    0.10467E+01    0.00000E+00   -0.43645E+02    0.71633E-07    0.22903E-03   -0.81720E-06
   145    0.41144E+04    0.10445E+01    0.00000E+00   -0.43799E+02    0.71186E-07    0.22681E-03   -0.80760E-06
   146    0.41470E+04    0.10418E+01    0.00000E+00   -0.43932E+02    0.70743E-07    0.22462E-03   -0.79787E-06
   147    0.41792E+04    0.10387E+01    0.00000E+00   -0.44042E+02    0.70303E-07    0.22246E-03   -0.78819E-06
   148    0.42113E+04    0.10351E+01    0.00000E+00   -0.44132E+02    0.69868E-07    0.22032E-03   -0.77878E-06
   149    0.42433E+04    0.10311E+01    0.00000E+00   -0.44198E+02    0.69436E-07    0.21821E-03   -0.76981E-06
   150    0.42750E+04    0.10267E+01    0.00000E+00   -0.44241E+02    0.69008E-07    0.21612E-03   -0.76149E-06
   151    0.43066E+04    0.10219E+01    0.00000E+00   -0.44261E+02    0.68583E-07    0.21405E-03   -0.75397E-06
   152    0.43378E+04    0.10166E+01    0.00000E+00   -0.44259E+02    0.68162E-07    0.21201E-03   -0.74723E-06
   153    0.43690E+04    0.10109E+01    0.00000E+00   -0.44231E+02    0.67745E-07    0.20998E-03   -0.74120E-06
   154    0.43999E+04    0.10049E+01    0.00000E+00   -0.44180E+02    0.67331E-07    0.20797E-03   -0.73582E-06
   155    0.44306E+04    0.99860E+00    0.00000E+00   -0.44105E+02    0.66921E-07    0.20599E-03   -0.73103E-06
   156    0.44610E+04    0.99189E+00    0.00000E+00   -0.44006E+02    0.66514E-07    0.20402E-03   -0.72676E-06
   157    0.44912E+04    0.98483E+00    0.00000E+00   -0.43882E+02    0.66111E-07    0.20208E-03   -0.72294E-06
   158    0.45212E+04    0.97750E+00    0.00000E+00   -0.43733E+02    0.65711E-07    0.20016E-03   -0.71952E-06
   159    0.45509E+04    0.96973E+00    0.00000E+00   -0.43559E+02    0.65315E-07    0.19826E-03   -0.71643E-06
   160    0.45804E+04    0.96169E+00    0.00000E+00   -0.43360E+02    0.64923E-07    0.19638E-03   -0.71361E-06
   161    0.46096E+04    0.95343E+00    0.00000E+00   -0.43135E+02    0.64533E-07    0.19452E-03   -0.71098E-06
   162    0.46386E+04    0.94482E+00    0.00000E+00   -0.42886E+02    0.64147E-07    0.19269E-03   -0.70849E-06
   163    0.46674E+04    0.93593E+00    0.00000E+00   -0.42611E+02    0.63765E-07    0.19087E-03   -0.70607E-06
   164    0.46958E+04    0.92683E+00    0.00000E+00   -0.42311E+02    0.63385E-07    0.18908E-03   -0.70366E-06
   165    0.47240E+04    0.91745E+00    0.00000E+00   -0.41984E+02    0.63010E-07    0.18731E-03   -0.70120E-06
   166    0.47519E+04    0.90793E+00    0.00000E+00   -0.41632E+02    0.62637E-07    0.18556E-03   -0.69861E-06
   167    0.47796E+04    0.89805E+00    0.00000E+00   -0.41255E+02    0.62267E-07    0.18383E-03   -0.69584E-06
   168    0.48069E+04    0.88819E+00    0.00000E+00   -0.40851E+02    0.61901E-07    0.18213E-03   -0.69283E-06
   169    0.48338E+04    0.87804E+00    0.00000E+00   -0.40420E+02    0.61538E-07    0.18045E-03   -0.68950E-06
   170    0.48605E+04    0.86782E+00    0.00000E+00   -0.39964E+02    0.61179E-07    0.17879E-03   -0.68580E-06
   171    0.48867E+04    0.85754E+00    0.00000E+00   -0.39480E+02    0.60822E-07    0.17715E-03   -0.68165E-06
   172    0.49125E+04    0.84712E+00    0.00000E+00   -0.38969E+02    0.60469E-07    0.17553E-03   -0.67701E-06
   173    0.49379E+04    0.83657E+00    0.00000E+00   -0.38433E+02    0.60118E-07    0.17394E-03   -0.67179E-06
   174    0.49629E+04    0.82617E+00    0.00000E+00   -0.37870E+02    0.59771E-07    0.17237E-03   -0.66595E-06
   175    0.49876E+04    0.81563E+00    0.00000E+00   -0.37280E+02    0.59427E-07    0.17082E-03   -0.65941E-06
   176    0.50118E+04    0.80517E+00    0.00000E+00   -0.36663E+02    0.59085E-07    0.16930E-03   -0.65212E-06
   177    0.50356E+04    0.79471E+00    0.00000E+00   -0.36021E+02    0.58747E-07    0.16779E-03   -0.64411E-06
   178    0.50589E+04    0.78449E+00    0.00000E+00   -0.35352E+02    0.58412E-07    0.16631E-03   -0.63541E-06
   179    0.50818E+04    0.77419E+00    0.00000E+00   -0.34655E+02    0.58080E-07    0.16485E-03   -0.62604E-06
   180    0.51044E+04    0.76405E+00    0.00000E+00   -0.33934E+02    0.57750E-07    0.16341E-03   -0.61605E-06
   181    0.51265E+04    0.75406E+00    0.00000E+00   -0.33186E+02    0.57424E-07    0.16199E-03   -0.60547E-06
   182    0.51481E+04    0.74429E+00    0.00000E+00   -0.32412E+02    0.57100E-07    0.16059E-03   -0.59433E-06
   183    0.51692E+04    0.73467E+00    0.00000E+00   -0.31612E+02    0.56779E-07    0.15921E-03   -0.58265E-06
   184    0.51900E+04    0.72527E+00    0.00000E+00   -0.30786E+02    0.56461E-07    0.15785E-03   -0.57049E-06
   185    0.52102E+04    0.71623E+00    0.00000E+00   -0.29936E+02    0.56146E-07    0.15650E-03   -0.55786E-06
   186    0.52297E+04    0.70743E+00    0.00000E+00   -0.29058E+02    0.55833E-07    0.15517E-03   -0.54481E-06
   187    0.52490E+04    0.69899E+00    0.00000E+00   -0.28156E+02    0.55523E-07    0.15386E-03   -0.53136E-06
   188    0.52678E+04    0.69090E+00    0.00000E+00   -0.27229E+02    0.55216E-07    0.15257E-03   -0.51755E-06
   189    0.52860E+04    0.68320E+00    0.00000E+00   -0.26276E+02    0.54911E-07    0.15128E-03   -0.50342E-06
   190    0.53041E+04    0.67594E+00    0.00000E+00   -0.25301E+02    0.54610E-07    0.15002E-03   -0.48898E-06
   191    0.53213E+04    0.66913E+00    0.00000E+00   -0.24298E+02    0.54310E-07    0.14877E-03   -0.47429E-06
   192    0.53381E+04    0.66281E+00    0.00000E+00   -0.23272E+02    0.54013E-07    0.14753E-03   -0.45937E-06
