#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    57    0.14875E+04   -0.75696E+00   -0.80212E-05   -0.75696E+00    0.15726E+00   -0.15386E-07   -0.80212E-05   -0.15386E-07    0.46806E-10
    58    0.15078E+04   -0.10029E+01   -0.74960E-05   -0.10029E+01    0.16585E+00   -0.13928E-07   -0.74960E-05   -0.13928E-07    0.44913E-10
    59    0.15282E+04   -0.12614E+01   -0.69994E-05   -0.12614E+01    0.17462E+00   -0.12350E-07   -0.69994E-05   -0.12350E-07    0.43121E-10
    60    0.15487E+04   -0.15320E+01   -0.65434E-05   -0.15320E+01    0.18362E+00   -0.11029E-07   -0.65434E-05   -0.11029E-07    0.41422E-10
    61    0.15698E+04   -0.18143E+01   -0.61365E-05   -0.18143E+01    0.19295E+00   -0.10248E-07   -0.61365E-05   -0.10248E-07    0.39809E-10
    62    0.15908E+04   -0.21093E+01   -0.57732E-05   -0.21093E+01    0.20260E+00   -0.98973E-08   -0.57732E-05   -0.98973E-08    0.38278E-10
    63    0.16119E+04   -0.24177E+01   -0.54445E-05   -0.24177E+01    0.21252E+00   -0.97747E-08   -0.54445E-05   -0.97747E-08    0.36823E-10
    64    0.16334E+04   -0.27409E+01   -0.51415E-05   -0.27409E+01    0.22274E+00   -0.96756E-08   -0.51415E-05   -0.96756E-08    0.35440E-10
    65    0.16548E+04   -0.30793E+01   -0.48549E-05   -0.30793E+01    0.23322E+00   -0.93960E-08   -0.48549E-05   -0.93960E-08    0.34126E-10
    66    0.16766E+04   -0.34310E+01   -0.45778E-05   -0.34310E+01    0.24390E+00   -0.87982E-08   -0.45778E-05   -0.87982E-08    0.32874E-10
    67    0.16985E+04   -0.37933E+01   -0.43105E-05   -0.37933E+01    0.25479E+00   -0.80103E-08   -0.43105E-05   -0.80103E-08    0.31682E-10
    68    0.17209E+04   -0.41647E+01   -0.40551E-05   -0.41647E+01    0.26592E+00   -0.72264E-08   -0.40551E-05   -0.72264E-08    0.30547E-10
