#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.103481E-02   0.210509E+08   0.210473E+08   0.377200E+06   0.388530E+06   0.000000E+00   0.210503E+08   0.210503E+08   0.210504E+08  -0.542721E+00   0.113906E+08   0.113899E+08   0.228792E+03
   0.114297E-02   0.212529E+08   0.212490E+08   0.300620E+06   0.307444E+06   0.000000E+00   0.212523E+08   0.212523E+08   0.212523E+08  -0.548244E+00   0.115333E+08   0.115326E+08   0.215109E+03
   0.126243E-02   0.214169E+08   0.214129E+08   0.192632E+06   0.194226E+06   0.000000E+00   0.214162E+08   0.214162E+08   0.214163E+08  -0.553003E+00   0.116530E+08   0.116523E+08   0.199481E+03
   0.139437E-02   0.215442E+08   0.215400E+08   0.170551E+06   0.180659E+06   0.000000E+00   0.215435E+08   0.215435E+08   0.215435E+08  -0.556944E+00   0.117504E+08   0.117496E+08   0.182465E+03
   0.154011E-02   0.216360E+08   0.216318E+08   0.208737E+06   0.899404E+06   0.000000E+00   0.216353E+08   0.216353E+08   0.216355E+08  -0.560022E+00   0.118260E+08   0.118252E+08   0.164829E+03
   0.170108E-02   0.216940E+08   0.216897E+08   0.179166E+06   0.773375E+06   0.000000E+00   0.216933E+08   0.216933E+08   0.216934E+08  -0.562188E+00   0.118804E+08   0.118797E+08   0.147481E+03
   0.187888E-02   0.217195E+08   0.217152E+08   0.928451E+05   0.658536E+06   0.000000E+00   0.217188E+08   0.217188E+08   0.217189E+08  -0.563422E+00   0.119143E+08   0.119136E+08   0.131244E+03
   0.207526E-02   0.217136E+08   0.217093E+08   0.797561E+05   0.556070E+06   0.000000E+00   0.217129E+08   0.217129E+08   0.217130E+08  -0.563718E+00   0.119282E+08   0.119275E+08   0.116719E+03
   0.229216E-02   0.216772E+08   0.216730E+08   0.832259E+05   0.466179E+06   0.000000E+00   0.216765E+08   0.216765E+08   0.216766E+08  -0.563092E+00   0.119226E+08   0.119219E+08   0.104274E+03
   0.253173E-02   0.216112E+08   0.216068E+08   0.375705E+05   0.388405E+06   0.000000E+00   0.216105E+08   0.216105E+08   0.216105E+08  -0.561565E+00   0.118983E+08   0.118975E+08   0.938982E+02
   0.279634E-02   0.215159E+08   0.215113E+08   0.392309E+05   0.321885E+06   0.000000E+00   0.215152E+08   0.215152E+08   0.215152E+08  -0.559167E+00   0.118555E+08   0.118548E+08   0.851314E+02
   0.308862E-02   0.213916E+08   0.213868E+08   0.187031E+05   0.265532E+06   0.000000E+00   0.213908E+08   0.213908E+08   0.213909E+08  -0.555925E+00   0.117949E+08   0.117942E+08   0.773435E+02
   0.341143E-02   0.212383E+08   0.212333E+08   0.145342E+05   0.218170E+06   0.000000E+00   0.212375E+08   0.212375E+08   0.212375E+08  -0.551863E+00   0.117166E+08   0.117159E+08   0.699881E+02
   0.376799E-02   0.210558E+08   0.210505E+08   0.214161E+04   0.178626E+06   0.000000E+00   0.210549E+08   0.210549E+08   0.210549E+08  -0.546997E+00   0.116208E+08   0.116201E+08   0.629274E+02
   0.416182E-02   0.208436E+08   0.208379E+08   0.889979E+04   0.145791E+06   0.000000E+00   0.208427E+08   0.208427E+08   0.208427E+08  -0.541336E+00   0.115076E+08   0.115068E+08   0.564019E+02
   0.459680E-02   0.206011E+08   0.205950E+08   0.656809E+04   0.118651E+06   0.000000E+00   0.206000E+08   0.206000E+08   0.206001E+08  -0.534877E+00   0.113766E+08   0.113759E+08   0.506820E+02
