#    L    TT             EE             TE             PP             TP          
   223    0.55820E+04    0.89741E+00    0.18473E+02    0.21248E+07    0.19369E+04
   224    0.55803E+04    0.92491E+00    0.20056E+02    0.21144E+07    0.19207E+04
   225    0.55780E+04    0.95408E+00    0.21650E+02    0.21040E+07    0.19046E+04
   226    0.55752E+04    0.98492E+00    0.23251E+02    0.20937E+07    0.18886E+04
   227    0.55716E+04    0.10174E+01    0.24860E+02    0.20834E+07    0.18728E+04
   228    0.55675E+04    0.10516E+01    0.26476E+02    0.20733E+07    0.18570E+04
   229    0.55629E+04    0.10875E+01    0.28096E+02    0.20632E+07    0.18414E+04
   230    0.55575E+04    0.11251E+01    0.29723E+02    0.20533E+07    0.18259E+04
   231    0.55516E+04    0.11646E+01    0.31355E+02    0.20433E+07    0.18105E+04
   232    0.55450E+04    0.12058E+01    0.32991E+02    0.20335E+07    0.17953E+04
   233    0.55379E+04    0.12489E+01    0.34630E+02    0.20238E+07    0.17801E+04
   234    0.55301E+04    0.12939E+01    0.36271E+02    0.20141E+07    0.17651E+04
   235    0.55217E+04    0.13407E+01    0.37914E+02    0.20045E+07    0.17502E+04
   236    0.55127E+04    0.13895E+01    0.39558E+02    0.19949E+07    0.17354E+04
   237    0.55031E+04    0.14401E+01    0.41203E+02    0.19855E+07    0.17207E+04
   238    0.54929E+04    0.14928E+01    0.42848E+02    0.19761E+07    0.17062E+04
   239    0.54822E+04    0.15474E+01    0.44493E+02    0.19668E+07    0.16917E+04
   240    0.54707E+04    0.16039E+01    0.46134E+02    0.19575E+07    0.16774E+04
   241    0.54588E+04    0.16626E+01    0.47774E+02    0.19483E+07    0.16632E+04
   242    0.54463E+04    0.17231E+01    0.49411E+02    0.19392E+07    0.16491E+04
   243    0.54332E+04    0.17858E+01    0.51044E+02    0.19302E+07    0.16351E+04
   244    0.54195E+04    0.18505E+01    0.52673E+02    0.19212E+07    0.16212E+04
   245    0.54052E+04    0.19173E+01    0.54296E+02    0.19123E+07    0.16074E+04
   246    0.53904E+04    0.19862E+01    0.55914E+02    0.19035E+07    0.15938E+04
   247    0.53750E+04    0.20571E+01    0.57525E+02    0.18947E+07    0.15802E+04
   248    0.53591E+04    0.21304E+01    0.59129E+02    0.18859E+07    0.15667E+04
   249    0.53427E+04    0.22056E+01    0.60725E+02    0.18773E+07    0.15534E+04
   250    0.53258E+04    0.22831E+01    0.62311E+02    0.18687E+07    0.15402E+04
   251    0.53083E+04    0.23626E+01    0.63890E+02    0.18602E+07    0.15270E+04
   252    0.52902E+04    0.24443E+01    0.65458E+02    0.18517E+07    0.15140E+04
   253    0.52719E+04    0.25281E+01    0.67015E+02    0.18433E+07    0.15011E+04
   254    0.52529E+04    0.26141E+01    0.68560E+02    0.18349E+07    0.14882E+04
   255    0.52334E+04    0.27022E+01    0.70094E+02    0.18266E+07    0.14755E+04
   256    0.52134E+04    0.27927E+01    0.71616E+02    0.18184E+07    0.14629E+04
   257    0.51930E+04    0.28852E+01    0.73119E+02    0.18102E+07    0.14504E+04
   258    0.51721E+04    0.29800E+01    0.74615E+02    0.18020E+07    0.14380E+04
   259    0.51507E+04    0.30769E+01    0.76089E+02    0.17940E+07    0.14256E+04
   260    0.51289E+04    0.31760E+01    0.77556E+02    0.17860E+07    0.14134E+04
   261    0.51067E+04    0.32772E+01    0.78993E+02    0.17780E+07    0.14013E+04
   262    0.50839E+04    0.33808E+01    0.80424E+02    0.17701E+07    0.13892E+04
   263    0.50609E+04    0.34864E+01    0.81841E+02    0.17622E+07    0.13773E+04
   264    0.50374E+04    0.35943E+01    0.83236E+02    0.17545E+07    0.13654E+04
   265    0.50133E+04    0.37042E+01    0.84601E+02    0.17467E+07    0.13537E+04
   266    0.49890E+04    0.38165E+01    0.85960E+02    0.17390E+07    0.13420E+04
   267    0.49641E+04    0.39307E+01    0.87290E+02    0.17314E+07    0.13304E+04
   268    0.49388E+04    0.40473E+01    0.88605E+02    0.17238E+07    0.13189E+04
   269    0.49131E+04    0.41659E+01    0.89899E+02    0.17163E+07    0.13075E+04
   270    0.48870E+04    0.42867E+01    0.91171E+02    0.17088E+07    0.12962E+04
   271    0.48606E+04    0.44095E+01    0.92421E+02    0.17014E+07    0.12850E+04
   272    0.48339E+04    0.45346E+01    0.93642E+02    0.16940E+07    0.12739E+04
   273    0.48068E+04    0.46614E+01    0.94849E+02    0.16867E+07    0.12628E+04
   274    0.47794E+04    0.47906E+01    0.96020E+02    0.16794E+07    0.12518E+04
   275    0.47516E+04    0.49217E+01    0.97176E+02    0.16722E+07    0.12409E+04
   276    0.47235E+04    0.50547E+01    0.98295E+02    0.16650E+07    0.12301E+04
   277    0.46951E+04    0.51899E+01    0.99401E+02    0.16578E+07    0.12194E+04
   278    0.46664E+04    0.53270E+01    0.10047E+03    0.16508E+07    0.12088E+04
   279    0.46374E+04    0.54660E+01    0.10151E+03    0.16437E+07    0.11982E+04
   280    0.46081E+04    0.56069E+01    0.10254E+03    0.16367E+07    0.11877E+04
   281    0.45786E+04    0.57498E+01    0.10353E+03    0.16298E+07    0.11773E+04
   282    0.45487E+04    0.58944E+01    0.10449E+03    0.16229E+07    0.11670E+04
   283    0.45187E+04    0.60409E+01    0.10542E+03    0.16160E+07    0.11567E+04
   284    0.44884E+04    0.61892E+01    0.10632E+03    0.16092E+07    0.11465E+04
   285    0.44579E+04    0.63394E+01    0.10719E+03    0.16025E+07    0.11364E+04
   286    0.44271E+04    0.64912E+01    0.10803E+03    0.15957E+07    0.11264E+04
   287    0.43961E+04    0.66448E+01    0.10885E+03    0.15891E+07    0.11164E+04
   288    0.43649E+04    0.68000E+01    0.10963E+03    0.15824E+07    0.11065E+04
   289    0.43336E+04    0.69569E+01    0.11038E+03    0.15758E+07    0.10967E+04
   290    0.43020E+04    0.71152E+01    0.11110E+03    0.15693E+07    0.10870E+04
   291    0.42703E+04    0.72758E+01    0.11178E+03    0.15628E+07    0.10773E+04
   292    0.42382E+04    0.74374E+01    0.11243E+03    0.15563E+07    0.10677E+04
   293    0.42062E+04    0.75998E+01    0.11304E+03    0.15499E+07    0.10581E+04
   294    0.41739E+04    0.77644E+01    0.11364E+03    0.15435E+07    0.10486E+04
   295    0.41416E+04    0.79298E+01    0.11418E+03    0.15371E+07    0.10392E+04
   296    0.41091E+04    0.80973E+01    0.11470E+03    0.15308E+07    0.10298E+04
   297    0.40765E+04    0.82649E+01    0.11519E+03    0.15246E+07    0.10205E+04
   298    0.40437E+04    0.84347E+01    0.11564E+03    0.15183E+07    0.10113E+04
   299    0.40108E+04    0.86059E+01    0.11605E+03    0.15121E+07    0.10021E+04
   300    0.39779E+04    0.87772E+01    0.11642E+03    0.15060E+07    0.99303E+03
   301    0.39448E+04    0.89500E+01    0.11677E+03    0.14999E+07    0.98398E+03
   302    0.39117E+04    0.91235E+01    0.11708E+03    0.14938E+07    0.97499E+03
   303    0.38786E+04    0.92985E+01    0.11735E+03    0.14877E+07    0.96605E+03
   304    0.38454E+04    0.94750E+01    0.11758E+03    0.14817E+07    0.95718E+03
   305    0.38122E+04    0.96515E+01    0.11778E+03    0.14757E+07    0.94836E+03
   306    0.37789E+04    0.98287E+01    0.11795E+03    0.14698E+07    0.93961E+03
   307    0.37456E+04    0.10007E+02    0.11807E+03    0.14639E+07    0.93091E+03
   308    0.37123E+04    0.10187E+02    0.11816E+03    0.14580E+07    0.92227E+03
   309    0.36790E+04    0.10366E+02    0.11821E+03    0.14522E+07    0.91370E+03
   310    0.36457E+04    0.10546E+02    0.11823E+03    0.14464E+07    0.90518E+03
   311    0.36125E+04    0.10728E+02    0.11820E+03    0.14406E+07    0.89672E+03
   312    0.35793E+04    0.10909E+02    0.11815E+03    0.14349E+07    0.88832E+03
   313    0.35461E+04    0.11091E+02    0.11805E+03    0.14292E+07    0.87998E+03
   314    0.35130E+04    0.11273E+02    0.11792E+03    0.14235E+07    0.87170E+03
   315    0.34800E+04    0.11455E+02    0.11775E+03    0.14179E+07    0.86349E+03
   316    0.34470E+04    0.11638E+02    0.11754E+03    0.14123E+07    0.85533E+03
   317    0.34141E+04    0.11820E+02    0.11730E+03    0.14067E+07    0.84723E+03
   318    0.33813E+04    0.12003E+02    0.11702E+03    0.14012E+07    0.83919E+03
   319    0.33486E+04    0.12186E+02    0.11670E+03    0.13957E+07    0.83121E+03
   320    0.33160E+04    0.12369E+02    0.11635E+03    0.13902E+07    0.82329E+03
   321    0.32835E+04    0.12553E+02    0.11596E+03    0.13847E+07    0.81543E+03
